Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
2,Ofi,264,15.2,NA,NA,20.0,NA,NA,23.4,NA,NA,24.2,NA,NA
2,Ofi,265,13.8,NA,NA,18.5,NA,NA,20.5,NA,16.7,22.4,NA,21.9
2,Ofi,266,10.1,NA,NA,12.5,NA,NA,17.2,NA,14.1,21.8,NA,21.4
2,Ofi,267,9.5,NA,NA,12.1,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,268,9.8,NA,NA,15.2,NA,NA,17.0,7,17.3,NA,NA,NA
2,Ofi,269,8.8,NA,NA,12.9,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,270,7.4,NA,NA,7.7,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,271,8.1,NA,NA,11.3,NA,NA,12.5,4,NA,NA,NA,NA
2,Ofi,272,12.2,NA,NA,17.2,NA,NA,21.1,1,19.4,NA,NA,NA
2,Ofi,273,6.5,NA,NA,6.9,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,274,7.9,NA,NA,10.1,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,275,9.6,NA,NA,12.7,NA,NA,14.0,1,NA,NA,NA,NA
2,Ofi,276,7.5,NA,NA,7.5,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,277,11.2,NA,NA,14.7,NA,NA,15.4,1,NA,NA,NA,NA
2,Ofi,278,8.6,NA,NA,8.5,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,279,15.9,NA,NA,30.3,NA,NA,37.4,1,NA,NA,NA,NA
2,Ofi,280,11.4,NA,NA,11.8,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,281,9.6,NA,NA,10.3,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,282,11.6,NA,NA,16.2,NA,NA,17.5,7,NA,NA,NA,NA
1,Dgl,283,7.8,NA,NA,13.1,NA,NA,17.5,7,NA,NA,NA,NA
2,Ofi,284,6.6,NA,NA,7.8,7,NA,NA,NA,NA,NA,NA,NA
1,Dgl,285,13.9,NA,NA,24.5,NA,NA,39.6,NA,NA,54.9,NA,29.6
2,Ofi,286,9.6,NA,NA,11.4,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,287,13.1,NA,NA,14.2,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,288,7.8,NA,NA,7.7,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,289,13.1,NA,NA,16.7,NA,NA,17.9,1,NA,NA,NA,NA
2,Ofi,290,10.3,NA,NA,13.9,NA,NA,14.0,7,NA,NA,NA,NA
2,Ofi,291,11.0,NA,NA,14.9,NA,NA,17.1,NA,NA,18.0,NA,NA
2,Ofi,292,10.3,NA,NA,13.3,NA,NA,13.3,7,13.7,NA,NA,NA
2,Ofi,293,12.4,NA,NA,18.4,NA,NA,23.5,NA,NA,24.7,NA,NA
2,Ofi,294,12.6,NA,NA,17.3,NA,NA,20.9,NA,NA,21.5,NA,NA
2,Ofi,295,5.7,NA,NA,5.9,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,296,6.4,NA,NA,11.2,NA,NA,35.4,NA,NA,41.7,NA,30.4
2,Ofi,297,5.3,NA,NA,5.9,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,298,10.3,NA,NA,15.7,NA,NA,16.0,NA,NA,17.8,NA,NA
2,Ofi,299,10.6,NA,NA,14.1,NA,NA,14.5,7,NA,NA,NA,NA
2,Ofi,300,12.8,NA,NA,15.8,NA,NA,16.5,7,NA,NA,NA,NA
2,Ofi,301,13.2,NA,NA,14.3,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,302,9.3,NA,NA,13.6,NA,NA,15.5,NA,NA,16.5,NA,NA
2,Ofi,303,10.1,NA,NA,11.6,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,304,10.0,NA,NA,13.2,NA,NA,14.0,7,NA,NA,NA,NA
2,Ofi,305,10.0,NA,NA,9.8,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,306,8.7,NA,NA,8.4,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,307,8.7,NA,NA,9.7,1,NA,NA,NA,NA,NA,NA,NA
