Bestandeseinheit,Baumart,Baumnummer,D_1960,Aus_1960,H_1960,D_1967,Aus_1967,H_1967,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2015,Aus_2015,H_2015
1,Bu,21301,22.6,NA,NA,24.1,NA,NA,25.8,NA,NA,28.1,NA,NA,30.0,NA,NA,30.8,NA,NA,30.9,NA,NA,31.5,NA,NA,32.6,NA,NA
1,Bu,21302,11.8,NA,NA,12.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21303,30.2,NA,NA,33.6,NA,NA,38.2,NA,NA,43.0,NA,NA,45.7,NA,NA,47.2,NA,NA,47.7,NA,NA,48.9,NA,NA,50.8,NA,NA
2,Es,21304,31.5,NA,NA,34.7,NA,NA,40.0,NA,31.0,44.6,NA,33.4,48.6,NA,35.2,51.9,NA,NA,53.1,NA,NA,54.9,NA,NA,57.5,2,NA
1,Bu,21305,9.8,NA,NA,9.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21306,15.2,NA,NA,16.3,NA,NA,17.0,NA,NA,17.3,NA,NA,17.5,NA,NA,17.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21307,29.0,NA,NA,32.1,NA,NA,36.0,NA,NA,40.1,NA,NA,43.9,NA,NA,46.2,NA,NA,46.1,NA,NA,47.9,NA,NA,49.7,NA,NA
1,Bu,21401,11.8,NA,NA,11.9,NA,NA,12.0,NA,NA,12.0,NA,NA,12.2,NA,NA,12.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21402,32.8,NA,22.0,36.8,NA,NA,42.0,NA,NA,47.3,NA,NA,52.6,NA,NA,55.6,NA,NA,56.5,NA,NA,58.3,NA,NA,60.5,2,35.6
1,Bu,21403,23.0,NA,NA,25.0,NA,NA,27.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21404,20.2,NA,NA,22.3,NA,NA,25.9,NA,NA,29.6,NA,NA,35.1,NA,NA,38.1,NA,NA,39.3,NA,NA,43.5,NA,NA,43.6,NA,NA
1,Bu,21405,20.6,NA,NA,22.1,NA,NA,23.6,NA,NA,24.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21406,20.2,NA,NA,21.6,NA,NA,23.2,NA,NA,24.8,NA,NA,26.7,NA,NA,27.7,NA,NA,27.9,NA,NA,28.6,NA,NA,29.5,NA,34.7
1,Bu,21501,8.2,NA,NA,8.3,NA,NA,8.5,NA,NA,9.4,NA,NA,9.6,NA,NA,9.7,NA,NA,9.6,NA,NA,9.8,NA,NA,10.2,NA,NA
3,Ah,21502,25.2,NA,NA,27.2,NA,NA,28.0,NA,27.0,30.3,NA,26.9,31.9,NA,NA,32.3,NA,NA,32.9,NA,NA,33.1,NA,NA,33.9,NA,30.6
1,Bu,21503,13.0,NA,NA,13.2,NA,NA,13.2,NA,NA,15.0,NA,NA,16.4,NA,NA,16.5,NA,NA,16.5,NA,NA,16.5,NA,NA,16.7,NA,NA
1,Bu,21504,27.2,NA,NA,32.0,NA,NA,38.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21505,12.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21506,10.6,NA,NA,10.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21507,19.0,NA,NA,20.0,NA,NA,21.1,NA,NA,22.4,NA,NA,24.4,NA,NA,24.9,NA,NA,25.7,NA,NA,26.9,NA,NA,28.9,NA,NA
3,Ah,21508,36.0,NA,NA,39.2,NA,NA,43.0,NA,NA,47.1,NA,28.1,50.7,NA,29.0,53.7,NA,NA,54.7,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,21509,12.6,NA,NA,12.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,21510,20.1,NA,NA,20.3,NA,NA,20.1,NA,21.0,20.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21601,8.4,NA,NA,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21602,7.3,NA,NA,7.3,NA,NA,7.5,NA,NA,7.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21603,10.7,NA,NA,10.7,NA,NA,10.8,NA,NA,11.1,NA,NA,11.1,NA,NA,11.1,NA,NA,11.2,NA,NA,11.5,NA,NA,13.3,NA,NA
1,Bu,21604,16.2,NA,NA,16.5,NA,NA,16.4,NA,NA,16.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21605,39.5,NA,NA,43.7,NA,NA,50.6,NA,NA,55.8,NA,30.5,59.4,NA,33.3,62.0,NA,NA,62.4,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,21606,15.7,NA,NA,15.7,NA,NA,16.0,NA,NA,15.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,21607,25.1,NA,NA,26.5,NA,NA,28.9,NA,25.0,29.1,7,26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21608,17.8,NA,NA,19.1,NA,NA,19.7,NA,NA,20.6,NA,NA,22.2,NA,NA,22.6,NA,NA,22.7,NA,NA,23.5,NA,NA,26.8,NA,NA
2,Es,21609,31.5,NA,21.0,36.0,NA,NA,42.0,NA,31.0,48.2,NA,31.0,54.0,NA,34.4,58.2,NA,NA,59.2,NA,NA,61.4,NA,NA,64.3,2,36.2
2,Es,21610,21.6,NA,19.5,24.6,7,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,21611,28.0,NA,NA,28.9,NA,NA,29.8,NA,26.5,29.6,NA,26.7,29.8,NA,28.7,30.3,NA,NA,30.2,NA,NA,30.4,NA,NA,32.4,NA,NA
1,Bu,31001,22.7,NA,NA,23.7,NA,NA,26.0,NA,NA,27.7,NA,NA,30.1,NA,NA,31.1,NA,NA,31.3,NA,NA,31.7,NA,NA,32.6,NA,34.6
1,Bu,31002,33.4,NA,NA,36.1,NA,NA,41.0,NA,NA,45.4,NA,NA,50.4,NA,NA,54.0,NA,NA,55.2,NA,NA,57.0,NA,NA,60.1,NA,NA
1,Bu,31003,20.0,NA,NA,20.6,NA,NA,21.0,NA,NA,20.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31004,14.6,NA,NA,14.8,NA,NA,15.0,NA,NA,15.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31005,40.0,NA,NA,44.1,NA,NA,48.3,NA,NA,52.0,NA,NA,54.9,NA,NA,56.2,NA,NA,56.2,NA,NA,56.5,NA,NA,57.9,2,NA
1,Bu,31101,14.8,NA,16.5,15.1,NA,NA,15.8,NA,17.5,16.6,NA,17.0,17.6,NA,19.4,18.0,NA,NA,17.9,NA,NA,18.8,NA,NA,20.5,NA,21.5
1,Bu,31102,30.0,NA,NA,32.8,NA,NA,38.3,NA,NA,44.0,NA,NA,49.3,NA,NA,53.6,NA,NA,54.2,NA,NA,56.1,NA,NA,58.1,NA,NA
1,Bu,31103,24.6,NA,NA,26.6,7,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,31104,23.2,NA,NA,24.0,NA,NA,25.4,NA,26.0,26.3,NA,27.8,26.9,NA,28.8,26.7,NA,NA,26.8,5,NA,NA,NA,NA,NA,NA,NA
1,Bu,31105,35.2,NA,NA,37.9,7,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,31107,27.8,NA,NA,28.4,NA,NA,30.8,NA,NA,32.7,NA,28.4,35.9,NA,29.3,37.5,NA,NA,37.9,NA,NA,38.5,NA,NA,39.7,NA,NA
