Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
1,Dgl,1,6.2,NA,NA,9.1,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,2,8.0,NA,NA,14.5,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,3,4.5,NA,NA,5.4,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,4,5.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,5,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,6,28.8,NA,16.0,45.9,NA,23.5,60.1,NA,30.6,70.4,NA,33.2
1,Dgl,7,10.8,NA,NA,15.2,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,8,19.4,NA,14.5,34.7,1,23.6,NA,NA,NA,NA,NA,NA
1,Dgl,9,15.6,NA,NA,22.6,NA,NA,28.7,NA,NA,34.1,NA,NA
1,Dgl,10,12.8,NA,NA,24.1,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,11,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,12,17.3,NA,NA,27.4,NA,NA,30.0,7,22.6,NA,NA,NA
1,Dgl,13,6.3,NA,NA,6.3,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,14,18.7,NA,NA,20.5,NA,NA,33.2,NA,NA,45.8,NA,NA
1,Dgl,15,17.4,NA,NA,21.7,2,NA,NA,NA,NA,NA,NA,NA
1,Dgl,16,14.9,NA,NA,25.5,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,17,16.9,NA,NA,25.5,NA,NA,34.7,NA,NA,41.5,NA,NA
1,Dgl,18,10.3,NA,NA,14.9,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,19,23.2,NA,NA,37.1,1,23.9,NA,NA,NA,NA,NA,NA
1,Dgl,20,16.4,NA,NA,24.1,NA,NA,28.0,7,22.8,NA,NA,NA
1,Dgl,21,17.1,NA,NA,26.3,NA,NA,26.4,7,21.0,NA,NA,NA
1,Dgl,22,17.5,NA,12.5,29.0,NA,19.6,38.6,NA,27.1,45.2,NA,30.1
1,Dgl,23,23.7,NA,13.5,35.8,1,22.6,NA,NA,NA,NA,NA,NA
1,Dgl,24,21.2,NA,NA,32.7,NA,NA,43.9,NA,NA,51.0,NA,31.4
1,Dgl,25,11.9,NA,NA,16.2,NA,NA,19.3,NA,NA,21.2,NA,NA
1,Dgl,26,11.5,NA,NA,15.6,NA,NA,16.0,7,21.8,NA,NA,NA
1,Dgl,27,14.6,NA,NA,23.1,NA,NA,32.7,NA,NA,37.2,NA,NA
1,Dgl,28,14.0,NA,NA,23.0,NA,NA,29.5,NA,NA,33.9,NA,NA
2,Ofi,29,12.7,NA,9.0,18.7,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,30,17.2,NA,12.0,27.4,NA,19.5,39.8,NA,26.1,46.4,NA,30.3
2,Ofi,31,7.0,NA,6.5,7.2,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,32,15.9,NA,12.5,29.0,NA,19.5,39.5,NA,27.2,44.8,NA,29.4
1,Dgl,33,10.4,NA,10.5,15.4,NA,14.5,17.6,NA,22.7,19.6,NA,22.7
1,Dgl,34,19.0,NA,NA,29.5,NA,NA,30.0,7,23.4,NA,NA,NA
1,Dgl,35,12.8,NA,NA,25.1,NA,NA,26.3,NA,NA,27.5,NA,24.7
1,Dgl,36,16.2,NA,NA,22.7,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,37,6.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,38,17.8,NA,NA,27.2,NA,NA,35.5,NA,NA,41.9,NA,NA
1,Dgl,39,11.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,40,11.4,NA,NA,14.5,NA,NA,18.9,NA,NA,19.9,NA,NA
1,Dgl,41,12.4,NA,NA,18.4,NA,NA,22.3,NA,NA,25.2,NA,NA
1,Dgl,42,15.2,NA,NA,22.4,NA,NA,28.7,NA,NA,34.3,NA,NA
1,Dgl,43,13.0,NA,NA,17.3,NA,NA,19.8,NA,NA,23.9,NA,NA
1,Dgl,44,12.2,NA,NA,16.6,NA,NA,16.6,7,14.9,NA,NA,NA
1,Dgl,45,7.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,46,10.4,NA,NA,16.0,NA,NA,17.0,7,18.6,NA,NA,NA
1,Dgl,47,15.6,NA,NA,27.9,NA,NA,39.1,NA,NA,44.8,NA,NA
1,Dgl,48,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,49,10.3,NA,NA,15.7,NA,20.2,17.0,7,20.2,NA,NA,NA
1,Dgl,50,17.2,NA,NA,28.8,NA,NA,34.8,NA,NA,38.0,NA,NA
1,Dgl,51,19.1,NA,13.5,32.2,NA,21.4,41.1,NA,NA,47.3,NA,NA
1,Dgl,52,4.3,NA,NA,5.2,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,53,17.7,NA,NA,30.6,NA,NA,40.8,NA,NA,46.7,NA,NA
1,Dgl,54,6.4,NA,NA,9.6,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,55,6.1,NA,NA,11.2,NA,NA,12.0,7,13.4,NA,NA,NA
1,Dgl,56,5.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,57,16.8,NA,NA,26.4,NA,NA,29.0,7,29.0,NA,NA,NA
1,Dgl,58,7.0,NA,NA,9.0,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,59,10.8,NA,NA,18.4,NA,NA,20.0,7,21.6,NA,NA,NA
1,Dgl,60,5.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,61,15.1,NA,NA,23.1,NA,NA,28.3,NA,NA,32.3,NA,NA
1,Dgl,62,8.0,NA,NA,9.6,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,63,18.9,NA,NA,33.1,NA,NA,44.8,NA,NA,49.8,NA,33.3
1,Dgl,64,13.4,NA,NA,16.0,NA,NA,16.6,7,17.3,NA,NA,NA
1,Dgl,65,16.8,NA,NA,26.4,NA,NA,36.6,NA,NA,42.9,NA,NA
1,Dgl,66,12.8,NA,NA,20.9,NA,NA,27.6,NA,NA,31.2,NA,NA
1,Dgl,67,10.5,NA,NA,13.9,NA,NA,14.0,NA,NA,16.5,NA,NA
1,Dgl,68,17.5,NA,NA,30.7,NA,NA,33.0,7,24.5,NA,NA,NA
1,Dgl,69,11.8,NA,NA,13.4,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,70,7.1,NA,NA,7.4,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,71,19.3,NA,NA,33.9,NA,21.7,44.6,NA,NA,51.5,NA,31.9
1,Dgl,72,8.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,73,11.8,NA,NA,20.6,NA,18.9,27.6,1,NA,NA,NA,NA
1,Dgl,74,18.0,NA,13.5,30.1,NA,21.2,31.0,NA,24.1,46.0,NA,NA
1,Dgl,75,9.7,NA,10.0,11.2,5,13.5,NA,NA,NA,NA,NA,NA
1,Dgl,76,8.8,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,77,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,78,8.9,NA,NA,13.4,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,79,17.2,NA,NA,26.1,NA,NA,36.1,NA,26.4,39.3,NA,29.2
1,Dgl,80,15.4,NA,NA,22.5,NA,NA,23.0,7,22.7,NA,NA,NA
1,Dgl,81,7.6,NA,NA,8.3,7,NA,NA,NA,NA,NA,NA,NA
1,Dgl,82,16.9,NA,NA,27.3,NA,NA,38.0,NA,NA,41.9,NA,NA
1,Dgl,83,15.4,NA,11.5,27.0,NA,19.0,30.0,7,23.4,NA,NA,NA
1,Dgl,84,14.8,NA,11.5,21.2,NA,18.8,25.7,1,NA,NA,NA,NA
1,Dgl,85,17.6,NA,NA,27.0,NA,NA,28.0,7,18.5,NA,NA,NA
1,Dgl,86,17.0,NA,NA,25.2,NA,NA,30.9,NA,NA,36.4,NA,28.3
