Bestandeseinheit,Baumart,Baumnummer,D_1955,Aus_1955,H_1955,D_1959,Aus_1959,H_1959,D_1966,Aus_1966,H_1966,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_1996,Aus_1996,H_1996,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2014,Aus_2014,H_2014
6,Bu,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,3.1,2.1,NA,NA,1.9,NA,NA,1.9,NA,NA,2.2,NA,NA
6,Bu,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,2.2,0.9,NA,NA,1.3,NA,NA,1.3,NA,NA,1.3,NA,NA
6,Bu,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.8,1.4,NA,NA,2.0,NA,NA,2.0,NA,NA,2.3,NA,NA
6,Bu,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.6,1.0,NA,NA,1.5,NA,NA,2.1,NA,NA,2.4,NA,NA
6,Bu,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,2.7,1.9,NA,NA,2.7,NA,NA,3.7,NA,NA,4.6,NA,NA
6,Bu,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.9,1.0,NA,NA,1.5,NA,NA,1.9,NA,NA,2.4,NA,NA
6,Bu,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.4,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,2.9,1.5,NA,NA,2.0,NA,NA,2.0,NA,NA,2.3,NA,NA
6,Bu,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.5,1.9,NA,NA,2.4,NA,NA,2.4,NA,NA,2.8,NA,NA
6,Bu,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,2.8,2.6,NA,NA,3.5,NA,NA,4.1,NA,NA,5.3,NA,NA
6,Bu,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,2.1,2.0,NA,NA,3.5,NA,NA,4.1,NA,NA,4.7,NA,NA
6,Bu,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.6,0.8,NA,NA,1.9,NA,NA,1.9,NA,NA,2.2,NA,NA
6,Bu,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.6,0.4,NA,NA,0.6,NA,NA,0.3,NA,NA,0.4,NA,NA
6,Bu,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.6,0.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,2.8,2.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.6,0.7,NA,NA,1.2,NA,NA,1.4,NA,NA,1.4,NA,NA
6,Bu,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.8,NA,NA,1.3,NA,NA,1.6,NA,NA,1.7,NA,NA
6,Bu,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,1.9,1.1,NA,NA,2.1,NA,NA,3.1,NA,NA,3.5,NA,NA
6,Bu,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,1.5,1.8,NA,NA,2.8,NA,NA,3.7,NA,NA,4.1,NA,NA
6,Bu,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,3.0,2.9,NA,NA,4.4,NA,NA,5.7,NA,NA,7.2,NA,NA
6,Bu,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,2.0,0.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,1.8,1.7,NA,NA,2.8,NA,NA,3.4,NA,NA,3.9,NA,NA
6,Bu,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.8,NA,NA,1.4,NA,NA,1.5,NA,NA,1.4,NA,NA
6,Bu,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.9,NA,NA,1.6,NA,NA,2.2,NA,NA,2.5,NA,NA
6,Bu,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.7,NA,NA,0.9,NA,NA,1.6,NA,NA,2.3,NA,NA
6,Bu,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.9,NA,NA,1.6,NA,NA,1.8,NA,NA,2.1,NA,NA
6,Bu,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,4.7,5.9,NA,6.9,6.7,NA,7.9,7.7,NA,8.5,8.7,NA,NA
6,Bu,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,11.6,NA,NA,12.1,NA,NA,13.2,NA,NA,13.5,NA,NA
6,Bu,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,2.5,1.9,NA,2.9,2.0,NA,NA,2.1,NA,NA,2.0,NA,NA
6,Bu,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,6.0,8.3,NA,7.8,9.0,NA,NA,10.1,NA,NA,11.8,NA,NA
6,Bu,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.6,1.0,NA,NA,2.3,NA,NA,3.7,NA,NA,4.2,NA,NA
6,Bu,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,2.4,2.1,NA,NA,3.2,NA,NA,3.8,NA,NA,4.3,NA,NA
6,Bu,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.6,NA,NA,2.1,NA,NA,1.8,NA,NA,2.0,NA,NA
6,Bu,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,2.0,1.3,NA,NA,1.9,NA,NA,5.1,NA,NA,6.2,NA,NA
6,Bu,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.4,0.9,NA,NA,1.8,NA,NA,1.8,NA,NA,2.1,NA,NA
6,Bu,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.6,0.6,NA,NA,1.0,NA,NA,0.8,NA,NA,0.9,NA,NA
6,Bu,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.8,NA,NA,1.4,NA,NA,1.4,NA,NA,1.7,NA,NA
6,Bu,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.4,NA,NA,1.7,NA,NA,1.7,NA,NA,2.0,NA,NA
6,Bu,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,1.3,NA,NA,1.0,NA,NA,1.0,NA,NA,1.2,NA,NA
6,Bu,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,2.0,1.5,NA,NA,2.7,NA,NA,4.2,NA,NA,4.7,NA,NA
6,Bu,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,2.4,2.5,NA,NA,3.3,NA,NA,5.6,NA,NA,7.7,NA,NA
6,Bu,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,1.9,1.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,2.4,2.1,NA,NA,3.1,NA,NA,3.7,NA,NA,4.2,NA,NA
6,Bu,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.3,NA,NA,0.5,NA,NA,0.6,NA,NA,0.5,NA,NA
6,Bu,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,1.9,1.3,NA,NA,2.2,NA,NA,2.8,NA,NA,3.2,NA,NA
6,Bu,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,2.0,1.1,NA,NA,2.1,NA,NA,2.7,NA,NA,3.1,NA,NA
6,Bu,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,2.2,1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.5,1.1,NA,NA,1.8,NA,NA,2.1,NA,NA,2.7,NA,NA
6,Bu,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,3.0,2.5,NA,NA,4.0,NA,NA,6.1,NA,NA,8.0,NA,NA
6,Bu,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.9,1.0,NA,NA,0.8,NA,NA,1.7,NA,NA,1.9,NA,NA
6,Bu,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,2.8,1.7,NA,NA,2.7,NA,NA,3.7,NA,NA,4.6,NA,NA
6,Bu,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.7,0.7,NA,NA,1.2,NA,NA,1.2,NA,NA,1.6,NA,NA
6,Bu,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,3.5,3.9,NA,5.4,4.9,NA,6.5,6.8,NA,8.0,8.9,NA,NA
6,Bu,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.0,1.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.0,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.8,0.8,NA,2.2,0.9,NA,NA,1.0,NA,NA,0.7,NA,NA
6,Bu,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.5,NA,NA,0.8,NA,NA,0.7,NA,NA,0.8,NA,NA
1,Bu,401,12.1,NA,NA,12.2,NA,NA,12.4,NA,NA,12.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.5,1.7,NA,NA,2.6,NA,NA,3.2,NA,NA,3.7,NA,NA
1,Bu,402,16.9,NA,NA,18.1,NA,NA,19.4,NA,NA,20.4,NA,NA,20.8,NA,NA,22.2,NA,NA,22.3,NA,NA,22.8,NA,NA,23.3,NA,NA,23.4,NA,NA,24.1,NA,NA
6,Bu,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,3.1,2.6,NA,NA,3.7,NA,NA,4.3,NA,NA,4.9,NA,NA
1,Bu,403,21.5,NA,NA,22.8,NA,NA,26.3,NA,NA,29.7,NA,NA,32.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,3.0,2.0,NA,NA,2.7,NA,NA,2.9,NA,NA,5.1,NA,NA
1,Bu,404,18.5,NA,NA,19.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,2.2,1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,405,11.5,NA,NA,12.6,NA,NA,13.5,NA,NA,13.5,NA,NA,13.5,NA,NA,15.0,3,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,2.4,1.3,NA,NA,2.5,NA,NA,3.9,NA,NA,4.7,NA,NA
1,Bu,406,6.5,NA,NA,7.7,NA,NA,8.4,NA,NA,8.4,NA,NA,8.6,NA,NA,8.0,3,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,407,10.4,NA,NA,11.4,NA,NA,13.7,NA,NA,14.5,NA,NA,15.1,NA,NA,17.2,NA,NA,17.4,NA,NA,18.4,NA,NA,18.8,NA,NA,19.2,NA,NA,20.1,NA,20.3
6,Bu,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,3.7,3.3,NA,NA,4.3,NA,NA,4.6,1,NA,NA,NA,NA
1,Bu,408,8.8,NA,NA,9.2,NA,NA,9.9,NA,NA,10.0,NA,NA,10.4,NA,NA,10.0,3,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,4.2,4.2,NA,6.2,5.2,NA,7.0,7.7,NA,8.5,10.7,NA,9.8
6,Bu,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.8,0.5,NA,NA,1.0,NA,NA,1.1,NA,NA,1.3,NA,NA
6,Bu,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,5,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,4.4,4.0,NA,5.5,5.5,NA,NA,7.5,NA,NA,9.1,NA,NA
6,Bu,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.9,1.0,1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,2.7,1.6,NA,NA,2.5,NA,NA,3.1,NA,NA,3.5,NA,NA
6,Bu,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,2.0,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,3.6,3.9,1,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.7,1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,2.7,2.3,1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.2,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.6,NA,NA,1.0,NA,NA,1.2,NA,NA,1.2,NA,NA
6,Bu,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,1.9,1.3,NA,NA,2.1,NA,NA,2.7,NA,NA,3.1,NA,NA
6,Bu,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.0,1.3,NA,3.7,2.5,NA,NA,3.1,NA,NA,3.5,NA,NA
6,Bu,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,2.4,1.6,NA,NA,2.0,NA,NA,2.0,NA,NA,2.3,NA,NA
6,Bu,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,2.8,3.2,NA,4.6,4.0,NA,NA,4.6,NA,NA,5.2,NA,NA
6,Bu,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.6,1.3,NA,NA,2.2,1,NA,NA,NA,NA,NA,NA,NA
6,Bu,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,3.4,2.3,NA,NA,3.2,NA,NA,3.8,NA,NA,4.3,NA,NA
6,Bu,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,3.3,2.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,4.4,5.4,NA,5.8,6.3,NA,NA,9.1,NA,NA,12.3,NA,NA
6,Bu,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.4,NA,NA,1.2,NA,NA,1.2,NA,NA,4.7,NA,NA
6,Bu,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,0.4,NA,NA,1.0,NA,NA,1.0,NA,NA,3.1,NA,NA
6,Bu,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.3,NA,NA,0.7,NA,NA,2.2,NA,NA,2.8,NA,NA
6,Bu,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.5,NA,1.6,0.8,NA,2.0,0.9,NA,2.3,1.1,NA,NA
6,Bu,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.0,1.0,1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,2.8,1.9,NA,3.5,2.9,NA,NA,4.0,NA,NA,5.5,NA,NA
6,Bu,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,0.6,NA,NA,0.9,NA,NA,1.0,NA,NA,1.2,NA,NA
6,Bu,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.3,NA,NA,1.1,NA,NA,1.2,NA,NA,1.4,NA,NA
6,Bu,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.8,NA,NA,1.6,NA,NA,3.6,NA,NA,4.0,NA,NA
6,Bu,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,1.0,NA,NA,1.8,NA,NA,3.5,NA,NA,4.0,NA,NA
6,Bu,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,2.0,1.0,NA,NA,1.9,NA,NA,3.4,NA,NA,3.9,NA,NA
6,Bu,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.2,NA,NA,0.5,NA,NA,0.6,NA,NA,0.8,NA,NA
6,Bu,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,3.0,1.8,NA,NA,2.7,NA,NA,3.3,NA,NA,3.8,NA,NA
6,Bu,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,2.3,0.7,NA,NA,1.3,NA,NA,1.5,NA,NA,1.8,NA,NA
6,Bu,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,2.9,1.1,NA,NA,1.6,NA,NA,2.3,NA,NA,2.8,NA,NA
6,Bu,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,2.4,1.2,NA,NA,2.1,NA,NA,2.3,NA,NA,2.7,NA,NA
6,Bu,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,1.9,0.8,NA,NA,1.4,NA,NA,1.5,NA,NA,1.8,NA,NA
6,Bu,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.6,0.8,NA,NA,1.5,NA,NA,1.6,NA,NA,1.9,NA,NA
6,Bu,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.7,0.9,NA,NA,1.3,NA,NA,1.4,NA,NA,5.4,NA,NA
