Bestandeseinheit,Baumart,Baumnummer,D_1955,Aus_1955,H_1955,D_1959,Aus_1959,H_1959,D_1966,Aus_1966,H_1966,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_1996,Aus_1996,H_1996,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2014,Aus_2014,H_2014
6,Bu,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.5,0.5,NA,NA,0.9,NA,NA,1.0,NA,NA,3.0,NA,NA
6,Bu,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.5,1.2,NA,NA,2.1,NA,NA,4.1,NA,NA,6.6,NA,NA
6,Bu,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.6,NA,NA,1.0,NA,NA,1.9,NA,NA,2.6,NA,NA
6,Bu,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.8,NA,NA,1.4,NA,NA,2.2,NA,NA,3.3,NA,NA
6,Bu,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,0.6,NA,NA,1.1,NA,NA,1.1,NA,NA,1.3,NA,NA
6,Bu,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.7,0.4,NA,NA,0.8,NA,NA,0.8,NA,NA,1.0,NA,NA
6,Bu,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,2.9,3.6,NA,NA,4.0,NA,NA,5.1,NA,NA,4.9,NA,NA
6,Bu,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,4.8,6.4,NA,NA,7.4,NA,NA,8.1,NA,NA,12.3,NA,NA
6,Bu,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.5,NA,NA,1.4,NA,NA,1.9,NA,NA,2.2,NA,NA
6,Bu,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.5,0.6,NA,NA,1.2,NA,NA,1.5,NA,NA,2.8,NA,NA
6,Bu,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,3.3,4.4,NA,NA,5.1,NA,NA,5.1,NA,NA,6.4,NA,NA
