Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,5601,13.3,NA,NA,15.2,NA,NA,17.8,NA,NA,21.8,NA,NA,25.3,NA,NA,27.2,NA,NA,30.0,NA,NA,31.3,NA,NA
1,Bu,5602,11.6,NA,NA,11.4,NA,NA,11.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5603,11.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5604,15.0,NA,NA,16.8,NA,14.6,19.9,NA,NA,22.2,NA,NA,24.3,NA,NA,26.0,NA,NA,27.3,NA,NA,29.4,NA,NA
1,Bu,5605,16.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5606,9.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5607,8.6,NA,NA,8.8,NA,NA,8.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5608,20.8,NA,NA,24.6,NA,NA,29.6,NA,NA,33.8,NA,NA,38.0,NA,NA,40.2,NA,NA,44.1,NA,NA,47.1,NA,NA
1,Bu,5609,11.6,NA,NA,12.8,NA,NA,14.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5610,10.5,NA,NA,10.6,NA,NA,10.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5611,22.8,NA,NA,26.2,NA,18.0,30.5,NA,NA,34.6,NA,NA,36.8,NA,NA,39.1,NA,NA,41.1,NA,28.6,43.4,NA,NA
1,Bu,5612,23.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5701,18.7,NA,NA,20.0,NA,NA,22.3,NA,22.1,22.3,NA,NA,22.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5702,5.6,NA,NA,6.6,NA,NA,6.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5703,7.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5704,19.6,NA,NA,21.8,NA,18.5,25.9,NA,NA,28.2,NA,NA,29.9,NA,NA,31.2,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,5705,16.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5706,17.4,NA,NA,19.2,NA,17.5,22.3,NA,NA,24.7,NA,NA,26.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5707,9.5,NA,NA,9.5,NA,NA,10.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5708,12.6,NA,NA,13.0,NA,NA,13.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5709,14.7,NA,NA,16.3,NA,17.3,19.6,NA,NA,22.1,NA,NA,23.7,NA,NA,24.3,NA,NA,25.1,2,NA,NA,NA,NA
1,Bu,5710,13.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5711,19.8,NA,NA,22.0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5712,17.6,NA,NA,18.2,NA,17.5,20.8,NA,NA,22.0,NA,NA,22.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5713,16.2,NA,NA,17.9,NA,NA,20.5,NA,NA,22.1,NA,NA,23.6,NA,NA,25.5,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,5714,17.0,NA,NA,19.2,NA,19.0,21.7,NA,NA,26.5,NA,NA,29.4,NA,NA,31.1,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,5715,8.5,NA,NA,8.5,NA,NA,8.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
