Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,207,14.2,NA,NA,16.0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,208,11.1,NA,NA,11.6,NA,NA,13.4,NA,NA,13.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,209,6.6,NA,NA,6.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,210,16.9,NA,NA,19.0,NA,NA,23.4,NA,NA,27.4,NA,NA,31.0,NA,NA,33.0,NA,NA,35.9,NA,NA,37.6,NA,31.5
1,Bu,211,16.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,212,7.0,NA,NA,7.1,NA,NA,7.4,1,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,213,9.2,NA,NA,9.2,NA,NA,9.9,NA,NA,10.1,NA,NA,10.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,214,19.2,NA,NA,21.4,NA,NA,25.8,NA,NA,30.0,NA,NA,34.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,215,18.5,NA,NA,20.4,NA,NA,25.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,216,17.8,NA,NA,19.6,NA,NA,23.2,NA,NA,26.9,NA,NA,31.6,NA,NA,34.5,NA,NA,39.0,NA,NA,40.4,NA,NA
1,Bu,217,10.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,218,9.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,219,20.5,NA,NA,23.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,220,7.3,NA,NA,7.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,301,25.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,302,9.0,NA,NA,9.0,NA,NA,10.6,NA,13.7,10.7,NA,14.8,11.0,NA,13.0,10.8,1,NA,NA,NA,NA,NA,NA,NA
