Bestandeseinheit,Baumart,Baumnummer,D_1972,Aus_1972,H_1972,D_1981,Aus_1981,H_1981,D_1993,Aus_1993,H_1993,D_2001,Aus_2001,H_2001,D_2011,Aus_2011,H_2011,D_2017,Aus_2017,H_2017
1,Bu,423,16.8,NA,NA,18.4,NA,NA,19.2,NA,26.1,19.3,NA,26.8,20.3,NA,28.5,21.4,NA,NA
1,Bu,424,11.8,NA,NA,11.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,425,9.2,NA,NA,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,426,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,427,14.7,NA,NA,14.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,428,15.2,NA,NA,20.2,NA,NA,25.4,NA,NA,27.9,NA,NA,32.4,NA,NA,33.9,NA,NA
1,Bu,429,11.2,1,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,430,16.2,NA,19.9,18.2,NA,23.8,21.1,2,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,431,14.6,NA,NA,16.4,NA,24.8,19.5,NA,25.7,21.9,NA,NA,23.2,NA,NA,25.0,NA,NA
1,Bu,432,11.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,433,16.7,NA,NA,17.3,7,23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,434,21.1,NA,21.5,26.9,NA,25.7,34.8,NA,30.2,38.4,NA,33.6,44.4,NA,36.5,47.5,NA,NA
1,Bu,435,15.2,NA,NA,15.3,NA,NA,15.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,436,20.6,NA,NA,25.0,NA,24.0,31.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,437,12.0,NA,NA,12.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,438,17.6,NA,NA,21.6,NA,NA,26.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,439,12.2,NA,NA,12.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,440,8.7,NA,NA,8.7,NA,NA,8.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,441,15.7,NA,NA,16.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,442,11.4,NA,NA,11.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,443,15.5,NA,NA,19.8,NA,NA,25.1,NA,27.6,27.4,2,33.3,NA,NA,NA,NA,NA,NA
1,Bu,444,14.7,NA,NA,14.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,445,17.6,NA,NA,19.6,NA,NA,21.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,446,15.5,NA,NA,17.4,NA,NA,18.0,NA,NA,18.0,NA,NA,17.6,NA,NA,18.4,NA,NA
1,Bu,447,18.4,NA,NA,20.4,NA,NA,24.2,NA,NA,26.3,NA,NA,29.7,1,NA,NA,NA,NA
1,Bu,448,9.8,NA,NA,9.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,449,13.2,NA,NA,13.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,450,24.5,NA,NA,32.0,NA,26.0,42.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,451,9.7,NA,NA,9.8,NA,NA,9.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,452,17.2,NA,NA,17.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,453,12.6,NA,NA,12.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,454,13.3,NA,NA,14.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,455,20.3,NA,NA,24.8,NA,NA,31.2,NA,NA,35.0,NA,NA,41.2,1,NA,NA,NA,NA
1,Bu,456,16.8,NA,NA,18.4,NA,22.5,21.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,457,13.4,NA,NA,13.5,NA,NA,13.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,458,18.7,NA,NA,22.6,NA,NA,28.8,NA,NA,32.6,NA,NA,37.2,NA,NA,39.9,NA,NA
1,Bu,459,19.1,NA,NA,21.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,460,12.6,1,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,461,11.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,462,26.4,NA,NA,32.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,463,21.5,NA,NA,29.0,NA,NA,38.1,NA,NA,42.2,NA,NA,48.0,NA,NA,51.4,NA,NA
1,Bu,464,15.3,NA,NA,18.4,NA,NA,22.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,465,11.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,466,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,467,20.2,NA,NA,23.3,NA,NA,29.6,NA,NA,32.4,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,468,11.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
