Bestandeseinheit,Baumart,Baumnummer,D_1972,Aus_1972,H_1972,D_1981,Aus_1981,H_1981,D_1993,Aus_1993,H_1993,D_2001,Aus_2001,H_2001,D_2011,Aus_2011,H_2011,D_2017,Aus_2017,H_2017
1,Bu,1,13.9,NA,NA,13.8,NA,NA,14.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2,9.2,NA,NA,9.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3,13.0,NA,NA,13.9,NA,NA,14.6,NA,NA,14.9,NA,NA,18.2,1,NA,NA,NA,NA
1,Bu,4,9.8,NA,NA,11.3,NA,NA,12.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5,10.4,NA,NA,11.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,6,8.0,NA,NA,8.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,7,11.6,NA,NA,11.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,8,7.6,NA,NA,7.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,9,20.6,NA,NA,24.3,NA,NA,29.7,NA,NA,32.3,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,10,6.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,11,14.2,NA,NA,17.4,NA,NA,21.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,12,10.9,NA,NA,11.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,13,12.2,NA,NA,13.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,14,15.8,NA,NA,18.6,NA,NA,23.2,NA,NA,25.2,NA,NA,28.2,1,NA,NA,NA,NA
1,Bu,15,13.9,NA,NA,14.3,NA,NA,15.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,16,9.4,NA,NA,9.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,17,15.2,NA,NA,16.8,NA,NA,20.0,NA,NA,21.4,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,18,18.4,NA,NA,20.6,NA,NA,24.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,19,12.1,NA,NA,12.4,NA,NA,12.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,20,13.0,NA,NA,15.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21,15.7,NA,NA,18.6,NA,NA,23.6,NA,NA,26.3,NA,NA,28.4,NA,NA,29.9,NA,NA
1,Bu,22,14.1,NA,NA,14.7,NA,NA,14.9,NA,NA,15.0,NA,NA,15.3,1,NA,NA,NA,NA
1,Bu,23,11.2,NA,NA,11.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,24,4.2,NA,NA,4.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,25,11.1,NA,NA,13.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,26,15.9,NA,NA,19.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,27,6.6,NA,NA,6.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,28,6.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,29,8.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,30,6.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31,11.6,NA,NA,12.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,32,15.8,NA,NA,20.1,NA,NA,27.2,NA,NA,31.8,NA,NA,37.0,NA,NA,40.0,NA,32.7
1,Bu,33,6.6,NA,NA,6.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,34,8.6,NA,NA,8.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,35,15.9,NA,NA,17.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,36,5.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
