Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,5501,15.0,NA,NA,16.2,NA,NA,18.0,NA,NA,19.4,NA,NA,20.9,NA,NA,21.4,NA,NA,22.1,1,NA,NA,NA,NA
1,Bu,5502,7.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5503,14.3,NA,NA,14.9,NA,NA,15.7,NA,NA,16.5,NA,NA,16.9,NA,NA,17.3,NA,NA,18.0,NA,NA,18.8,NA,NA
1,Bu,5504,11.2,NA,NA,11.7,NA,NA,12.3,NA,NA,11.9,NA,NA,11.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5505,11.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5506,11.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5507,14.6,NA,NA,15.8,NA,NA,16.7,NA,NA,17.1,NA,NA,18.0,NA,NA,18.7,NA,NA,19.6,NA,NA,20.5,NA,NA
1,Bu,5508,11.8,NA,NA,11.4,NA,NA,11.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5509,8.4,NA,NA,8.2,NA,NA,8.5,NA,NA,7.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5510,6.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5511,16.6,NA,NA,18.2,NA,NA,20.3,NA,NA,23.2,NA,NA,27.7,NA,NA,30.5,NA,NA,32.5,NA,NA,34.0,NA,NA
1,Bu,5512,13.6,NA,NA,14.3,NA,NA,15.6,NA,NA,16.4,NA,NA,16.9,NA,NA,16.9,NA,NA,17.3,NA,NA,17.9,NA,NA
1,Bu,5513,7.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5514,12.4,NA,NA,13.9,NA,NA,16.2,NA,NA,18.4,NA,NA,20.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5515,6.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5516,7.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5517,13.0,NA,NA,13.2,NA,NA,13.7,NA,NA,13.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5518,20.2,NA,NA,22.8,NA,NA,25.2,NA,NA,27.0,NA,NA,29.2,NA,NA,31.6,NA,NA,33.6,NA,NA,35.8,NA,NA
1,Bu,5519,12.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5520,7.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5521,8.2,NA,NA,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5522,18.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5523,6.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5601,7.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5602,13.7,NA,NA,14.3,NA,NA,17.5,NA,NA,20.2,NA,NA,21.9,NA,NA,22.3,NA,NA,23.9,NA,NA,23.3,NA,NA
1,Bu,5603,13.2,NA,NA,13.3,NA,NA,13.8,NA,NA,14.0,NA,NA,14.3,NA,NA,14.4,NA,NA,14.7,NA,NA,15.0,NA,NA
1,Bu,5604,9.6,NA,NA,9.6,NA,NA,10.2,NA,NA,10.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5605,7.2,NA,NA,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5606,15.6,NA,NA,17.4,NA,NA,20.1,NA,NA,22.0,NA,NA,23.9,NA,NA,24.9,NA,NA,25.7,NA,NA,26.0,NA,NA
1,Bu,5607,9.2,NA,NA,9.0,NA,NA,9.2,NA,NA,9.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5608,15.7,NA,NA,17.6,2,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5609,12.0,NA,NA,12.2,NA,NA,12.7,NA,NA,12.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5610,19.4,NA,NA,20.8,NA,19.3,23.6,NA,NA,25.6,NA,NA,26.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5611,13.0,NA,NA,14.2,NA,NA,16.4,NA,NA,17.6,NA,NA,18.6,NA,NA,19.7,NA,NA,20.6,NA,NA,20.8,NA,NA
1,Bu,5612,16.2,NA,NA,17.6,NA,NA,20.9,NA,NA,23.4,NA,NA,26.3,NA,NA,27.9,NA,NA,29.3,NA,NA,30.9,NA,NA
