Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,5001,8.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5002,20.8,NA,NA,23.3,NA,NA,27.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5003,11.4,NA,NA,11.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5004,18.6,NA,NA,20.7,NA,NA,23.3,NA,NA,25.9,NA,25.0,28.7,NA,26.0,31.2,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,5005,8.4,NA,NA,12.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5006,11.8,NA,NA,12.0,NA,NA,12.6,NA,NA,13.4,NA,NA,13.6,NA,NA,13.9,NA,NA,14.7,NA,NA,15.9,NA,NA
1,Bu,5007,7.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5008,25.2,NA,NA,27.3,NA,NA,28.6,NA,NA,31.0,NA,NA,33.6,NA,NA,35.9,NA,NA,39.0,NA,NA,40.9,NA,NA
1,Bu,5009,9.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5010,17.0,NA,NA,19.5,NA,NA,22.0,NA,NA,24.6,NA,NA,27.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5011,9.2,NA,NA,9.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5012,11.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5013,14.6,NA,NA,14.9,NA,NA,15.2,NA,NA,15.2,NA,NA,15.3,NA,NA,15.3,NA,NA,15.5,NA,NA,16.3,NA,NA
1,Bu,5014,23.4,NA,NA,25.3,NA,NA,28.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5015,9.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5016,7.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
