Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,1,19.7,NA,NA,21.8,NA,NA,23.9,NA,NA,26.5,NA,NA,29.8,NA,NA,32.3,NA,NA,33.9,NA,NA,36.4,NA,NA
1,Bu,2,11.4,NA,NA,12.0,NA,NA,12.6,NA,NA,12.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3,12.0,NA,NA,13.2,NA,NA,13.8,NA,NA,14.7,NA,NA,15.9,NA,NA,16.6,NA,NA,17.1,NA,NA,18.8,NA,NA
1,Bu,4,9.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5,10.6,NA,NA,10.2,NA,NA,10.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,6,19.0,NA,NA,21.4,NA,NA,23.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,7,9.2,NA,NA,8.8,NA,NA,8.4,NA,NA,12.8,NA,NA,12.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,8,27.4,NA,NA,32.1,NA,NA,35.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,9,8.4,NA,NA,8.8,NA,NA,8.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,10,16.4,NA,NA,17.8,NA,NA,19.7,NA,NA,22.6,NA,NA,25.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,11,8.0,NA,NA,8.2,NA,NA,8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,12,20.0,NA,NA,21.9,NA,NA,25.8,NA,NA,29.2,NA,NA,32.6,NA,NA,34.2,NA,NA,37.0,NA,28.9,40.4,NA,NA
1,Bu,13,17.6,NA,NA,19.8,NA,NA,22.2,NA,NA,26.2,NA,NA,31.2,NA,NA,34.4,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,14,15.0,NA,NA,15.9,NA,NA,18.1,NA,NA,20.4,NA,NA,24.7,NA,NA,27.5,NA,NA,31.1,NA,NA,34.6,NA,NA
1,Bu,15,19.7,NA,NA,22.4,NA,NA,25.2,NA,NA,29.9,7,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,16,8.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,17,6.6,NA,NA,6.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,101,7.2,NA,NA,7.2,NA,NA,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,102,6.8,NA,NA,6.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,103,16.4,NA,NA,19.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,104,13.6,NA,NA,14.2,NA,NA,14.8,NA,NA,15.7,NA,NA,16.3,NA,NA,16.4,NA,NA,16.8,NA,NA,18.3,NA,NA
1,Bu,105,19.0,NA,NA,21.8,NA,NA,27.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,106,7.4,NA,NA,7.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,107,12.0,NA,NA,12.2,NA,NA,12.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,108,11.8,NA,NA,11.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,109,18.6,NA,NA,20.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,110,6.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,111,15.2,NA,NA,16.1,NA,NA,18.2,NA,NA,20.8,NA,NA,24.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,112,11.5,NA,NA,12.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,113,8.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,114,6.6,NA,NA,6.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,115,9.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,116,7.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,117,11.2,NA,NA,11.1,NA,NA,11.5,NA,NA,11.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,118,10.2,NA,NA,10.1,NA,NA,10.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,119,11.5,NA,NA,11.2,NA,NA,11.4,NA,NA,11.5,NA,NA,11.5,NA,NA,11.5,1,NA,NA,NA,NA,NA,NA,NA
1,Bu,120,17.9,NA,NA,21.5,NA,NA,26.2,NA,NA,31.4,NA,NA,37.0,NA,NA,40.5,NA,NA,46.1,2,NA,NA,NA,NA
1,Bu,201,14.9,NA,NA,16.6,NA,NA,17.9,NA,NA,19.8,NA,NA,21.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,202,13.1,NA,NA,15.6,NA,NA,20.2,NA,NA,25.5,NA,NA,31.7,NA,NA,37.6,NA,NA,43.4,NA,31.4,47.6,NA,NA
1,Bu,203,7.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,204,8.1,NA,NA,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,205,9.2,NA,NA,9.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
