Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,601,15.8,NA,NA,15.7,NA,NA,15.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,602,17.4,NA,NA,19.1,NA,NA,20.4,NA,NA,21.0,NA,NA,21.3,NA,NA,21.3,1,NA,NA,NA,NA,NA,NA,NA
1,Bu,603,7.8,NA,NA,7.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,604,16.4,NA,NA,18.6,NA,NA,19.5,NA,NA,21.6,NA,NA,22.7,NA,NA,23.1,NA,NA,23.9,NA,NA,23.7,NA,NA
1,Bu,605,10.7,NA,NA,10.6,NA,NA,10.7,NA,NA,10.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,606,8.2,NA,NA,8.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,607,8.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,608,17.4,NA,NA,18.0,NA,NA,20.8,NA,NA,22.3,NA,NA,23.6,NA,NA,24.6,NA,NA,26.3,NA,NA,29.3,NA,NA
1,Bu,609,18.8,NA,NA,20.6,NA,NA,24.7,NA,NA,27.5,NA,NA,30.2,NA,NA,33.2,NA,NA,36.8,NA,NA,39.9,NA,NA
1,Bu,610,5.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,611,17.0,NA,NA,18.8,NA,NA,21.0,NA,23.5,23.1,NA,NA,24.6,NA,NA,25.0,NA,NA,26.7,NA,NA,27.3,NA,NA
1,Bu,612,9.0,NA,NA,8.8,NA,NA,8.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,613,9.2,NA,NA,9.2,NA,NA,9.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,614,7.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,615,11.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,616,20.9,NA,NA,23.5,NA,NA,27.9,NA,NA,31.1,NA,NA,33.7,NA,NA,34.0,NA,NA,35.4,NA,NA,34.9,NA,NA
1,Bu,617,8.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,618,13.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
