Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,5001,23.3,NA,NA,27.4,NA,NA,32.2,NA,NA,37.1,NA,NA,41.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5002,7.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5003,13.8,NA,NA,14.3,NA,NA,15.8,NA,NA,17.0,NA,NA,17.8,NA,NA,19.1,NA,NA,20.3,NA,NA,22.2,NA,NA
1,Bu,5004,6.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5005,12.0,NA,NA,12.8,NA,NA,13.1,NA,NA,12.6,NA,NA,13.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5006,7.0,NA,NA,6.8,NA,NA,7.0,NA,NA,7.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5007,9.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5008,6.2,NA,NA,6.0,NA,NA,6.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5009,17.9,NA,NA,19.0,NA,NA,22.6,NA,NA,25.6,NA,NA,29.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5010,8.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5011,5.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
