Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,618,19.9,NA,NA,22.5,NA,NA,27.4,NA,NA,31.3,NA,NA,36.2,NA,NA,39.4,NA,31.0,42.6,NA,NA,46.6,NA,NA
1,Bu,701,13.8,NA,NA,14.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,702,12.4,NA,NA,12.7,NA,NA,13.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,703,9.8,NA,NA,9.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,704,15.9,NA,NA,17.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,705,15.2,NA,NA,15.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,706,13.8,NA,NA,15.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,707,14.7,NA,NA,15.0,NA,NA,16.8,NA,NA,18.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,708,8.8,NA,NA,8.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,709,15.2,NA,NA,15.2,NA,NA,16.3,NA,NA,16.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,710,8.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,711,12.0,NA,NA,12.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,712,7.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,713,14.4,NA,NA,14.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,714,8.4,2,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,715,17.4,NA,15.0,17.8,NA,NA,21.0,NA,NA,23.5,NA,NA,25.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,716,16.4,NA,NA,18.0,NA,NA,21.0,NA,NA,24.4,NA,NA,28.0,NA,NA,30.1,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,717,8.8,NA,NA,8.8,NA,NA,9.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,718,20.0,NA,NA,22.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
