Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:03:18
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 06
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	26.07.1984	26.07.1984	26.07.1984	12.09.1995	12.09.1995	12.09.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	496	16	27	480	190	40	290	191	41	99	0	49	
1	Dgl	1	16,9		10,5	28,8		19,0	30,5			49,1		30,3	
2	Ofi	2	11,4		9,0	14,5			15,6			16,7			
2	Ofi	3	11,4			13,0	1								
1	Dgl	4	10,0			14,7			16,5	1					
1	Dgl	5	27,6		12,5	33,5		20,5	39,4			45,3		32,1	
2	Ofi	6	10,2		5,7	15,3			16,0			16,7			
1	Dgl	7	7,1			7,6	5								
1	Dgl	8	23,4		12,0	40,6		19,5	56,5			67,0		33,5	
1	Dgl	9	4,9			6,7	1								
2	Ofi	10	14,5		9,0	21,8			23,4			24,6			
2	Ofi	11	15,2			20,0			21,5	1					
2	Ofi	12	7,9			9,9	7								
2	Ofi	13	15,3		11,0	18,8			19,5	7					
2	Ofi	14	16,3		9,0	21,7			27,8	1					
3	Fi	15	13,3			25,4			36,5	1					
3	Fi	16	10,7			15,5	7								
3	Fi	17	9,1			18,6			25,5			31,7		27,3	
3	Fi	18	14,3			24,6			25,6	1					
3	Fi	19	8,8			10,2	6								
3	Fi	20	8,0			15,4	7								
3	Fi	21	7,6			7,8	4								
3	Fi	22	14,0			25,7			34,8		22,3	36,3			
3	Fi	23	7,4			8,4	5								
3	Fi	24	7,6			17,4	7								
3	Fi	25	10,7			20,3	6								
3	Fi	26	8,5			9,9	7								
3	Fi	27	18,2			29,6			34,3			43,0		26,8	
3	Fi	28	12,9			14,9	7								
3	Fi	29	11,5			17,8			27,4			32,1		27,4	
1	Dgl	30	6,6			11,1	7								
3	Fi	31	15,8			24,1			30,2			37,1		27,7	
3	Fi	32	14,3			20,6			26,9			33,9		26,0	
3	Fi	33	10,5			19,7			21,0	7					
3	Fi	34	6,8			7,4	6								
2	Ofi	35	6,5			6,8	6								
3	Fi	36	13,2			21,4			26,7	1					
1	Dgl	37	15,2			22,6	1								
3	Fi	38	18,7			30,5			39,3			42,7		30,8	
2	Ofi	39	12,0			13,1			13,5	7					
2	Ofi	40	4,6	6											
3	Fi	41	16,8			30,8			30,8	1					
3	Fi	42	13,5			22,4			34,8			41,5		30,1	
1	Dgl	43	5,0			4,9	4								
1	Dgl	44	4,9	1											
3	Fi	45	9,4			12,9	4								
2	Ofi	46	16,0			15,9	5								
1	Dgl	47	9,4			16,2		14,0	18,0	7					
3	Fi	48	11,6			21,6			27,2			33,0		27,6	
1	Dgl	49	11,7			17,2			19,0	7					
1	Dgl	50	15,2			24,8			29,5	1					
1	Dgl	51	11,1		7,7	18,6		15,0	29,6			36,0		27,7	
2	Ofi	52	8,3			13,4			13,5			14,8		14,3	
2	Ofi	53	16,2			22,8			27,2			29,6		24,2	
2	Ofi	54	10,7			14,5			15,4			16,3			
3	Fi	55	5,6			8,2	7								
1	Dgl	56	7,4			8,4	6								
1	Dgl	57	5,0			6,4			24,6	1					
2	Ofi	57	5,1			6,4			16,8			27,2		23,7	
2	Ofi	58	16,0			20,8			21,5			22,1			
1	Dgl	59	6,8			7,7	5								
2	Ofi	60	12,6			13,8	5								
2	Ofi	61	9,5			11,4	5								
1	Dgl	62	6,2			6,9	6								
2	Ofi	63	16,4			18,7	6								
1	Dgl	64	10,0			15,4			17,0	5					
2	Ofi	65	8,9			10,0	7								
1	Dgl	68	17,7			26,6			31,0	4					
1	Dgl	69	12,8			20,1			43,1	1					
3	Fi	70	7,2			11,1	7								
3	Fi	71	9,8			18,8			19,5	7					
2	Ofi	72	10,0			10,3	5								
3	Fi	73	9,6			17,8			18,0	7					
2	Ofi	74	7,9			10,8			11,0	7					
3	Fi	75	9,6			10,6	7								
2	Ofi	76	13,6			18,2			18,5	7					
3	Fi	77	18,2			30,5			31,6	4					
2	Ofi	78	12,6			15,5			19,0	7					
1	Dgl	79	16,7			25,9			37,4	1					
2	Ofi	80	13,5			15,8			16,0			16,2			
1	Dgl	81	11,6			16,9			20,8			36,6		27,2	
3	Fi	82	9,6			14,7			22,8			30,8		25,5	
2	Ofi	83	8,5			8,7	4								
2	Ofi	84	9,2			9,4	6								
2	Ofi	85	13,2			16,9			17,4			19,3			
2	Ofi	86	14,0			17,2			17,2	7					
2	Ofi	87	12,2			14,4			14,4			14,4			
1	Dgl	88	15,4			22,9			40,3	1					
2	Ofi	89	12,2			15,4			16,0	1					
2	Ofi	90	12,9			15,4	6								
1	Dgl	91	13,1			25,5		20,3	31,0	7					
2	Ofi	92	11,4			16,4	5								
1	Dgl	93	10,0			10,4	5								
1	Dgl	94	20,0			36,7			41,0	7					
2	Ofi	95	13,0			18,3			19,5	7					
2	Ofi	96	9,8			13,6			14,5	7					
2	Ofi	97	16,2			22,1		16,0	25,6	1					
2	Ofi	98	14,0			17,2			17,4			18,4			
2	Ofi	99	8,2			12,2			13,5	7					
1	Dgl	100	11,3			26,4		17,5	38,5			47,5		30,6	
2	Ofi	101	11,7			15,6			15,6			15,7		17,4	
2	Ofi	102	10,7			12,9			12,9	7	11,1				
2	Ofi	103	12,0			16,9			17,5	7					
1	Dgl	104	10,6	1											
2	Ofi	105	10,2	1											
2	Ofi	106	9,4			11,6	7								
1	Dgl	107	11,0			14,9			17,5	7					
2	Ofi	108	11,2			12,8			14,0	7					
2	Ofi	109	12,6			16,1			17,5	7					
2	Ofi	110	9,3			9,2	4								
2	Ofi	111	14,6			17,2			18,0	7					
3	Fi	112	15,9			25,1	7								
2	Ofi	113	11,6			14,4			16,0	7					
2	Ofi	114	12,9			18,0			18,0	2	15,7				
1	Dgl	115	9,1	1											
2	Ofi	116	18,5			21,5			23,0	1					
2	Ofi	117	16,0			20,5			22,0	7					
2	Ofi	118	11,8			17,2			19,0			23,0		21,8	
2	Ofi	119	16,4			21,9			22,0	7					
2	Ofi	120	9,0			12,4			13,0	7					
2	Ofi	121	8,6			8,9	4								
2	Ofi	122	13,9			16,5			17,5	7					
2	Ofi	123	9,1			10,7	2								
2	Ofi	124	12,4			17,6			17,6	7	15,1				
2	Ofi	125	13,2			18,0	1								
2	Ofi	126	3,4			4,2	1								
2	Ofi	127	12,0			17,0			18,4		18,6	19,5			
2	Ofi	128	12,6			16,5			17,0	5	17,3				
2	Ofi	129	13,1			14,1			19,9		12,4	25,7		24,8	
1	Dgl	130	13,7			27,8			39,2			47,1		29,0	
2	Ofi	131	12,0			14,7			15,5	7					
2	Ofi	132	5,4			5,3	4								
2	Ofi	133	11,6			15,5			16,7			17,7		18,6	
2	Ofi	134	11,9			15,4			16,5	7					
1	Dgl	135	16,1			25,2			35,9			49,9		30,3	
2	Ofi	136	9,4			13,3			14,5	7					
2	Ofi	137	12,1			15,5			15,5	7					
3	Fi	138	19,0			24,8			24,8	1					
1	Dgl	139	15,2			28,0		19,8	47,2			57,8		34,0	
1	Dgl	140	16,1	1											
2	Ofi	141	16,8		10,0	19,3			21,7			24,2		23,6	
1	Dgl	142	18,2	1	10,5										
1	Dgl	143	12,4	1											
1	Dgl	144	14,9			24,5		19,3	34,1			46,1			
2	Ofi	145	10,0			14,1			15,5	7					
1	Dgl	146	10,0			13,5	1								
3	Fi	147	9,0			10,3	4								
2	Ofi	148	7,6			8,0	4								
2	Ofi	149	10,5			13,3	6								
2	Ofi	150	12,6			17,1	1								
2	Ofi	151	11,4			15,7			15,7	7	13,4				
2	Ofi	152	13,0			20,0			23,5	4					
3	Fi	153	18,8			27,1			29,4	1					
1	Dgl	154	17,6		13,0	29,4			36,6			52,8		32,6	
3	Fi	155	8,2			9,4	6								
2	Ofi	156	7,7			8,1	5								
2	Ofi	157	12,3			13,8	6								
2	Ofi	158	11,4			12,1	5								
1	Dgl	159	10,3			18,5		16,8	30,8			53,4		31,1	
2	Ofi	160	8,4			11,1	5								
2	Ofi	161	12,2			13,6	1								
2	Ofi	162	13,0			16,9	6								
2	Ofi	163	9,1			12,5	7								
2	Ofi	164	9,9			13,1			14,0	5					
1	Dgl	165	11,6			14,1	6								
2	Ofi	166	13,2			19,5			20,0	4	17,2				
1	Dgl	167	9,6			16,3		17,0	27,6			39,0			
2	Ofi	168	15,1			20,2			21,0	4	18,3				
2	Ofi	169	6,6			6,7	5								
2	Ofi	170	10,1			11,0	5								
2	Ofi	171	9,0			11,0	5								
2	Ofi	172	11,6			14,4			15,5	7					
1	Dgl	173	11,4			12,8			13,2			13,6			
2	Ofi	174	11,5			13,6	5								
1	Dgl	175	5,9			5,8	5								
2	Ofi	176	15,3			19,0	5								
1	Dgl	177	20,9		13,5	35,1		21,8	40,7		26,3	49,1		33,3	
1	Dgl	178	16,8			26,6		20,3	30,5			45,2		31,7	
2	Ofi	179	8,1			10,6			10,6	7	11,2				
2	Ofi	180	7,6	1											
2	Ofi	181	15,6			21,0			22,5			26,8			
2	Ofi	182	13,3			14,1			19,0		19,8	20,4		21,4	
2	Ofi	183	9,4			10,5	7								
2	Ofi	184	13,4			16,0			17,5	7					
2	Ofi	185	8,1			8,9	4								
2	Ofi	186	10,5			11,3	5								
2	Ofi	187	12,8			18,3			21,0	1	20,4				
2	Ofi	188	13,9			17,7			19,5	1					
2	Ofi	189	5,1			5,5	6								
2	Ofi	190	5,0			5,3	6								
2	Ofi	191	7,7			8,1	6								
2	Ofi	192	10,2			13,8			15,0	7					
2	Ofi	193	11,2			15,5			16,0	7					
2	Ofi	194	13,5			16,1			20,3		21,5	21,8			
2	Ofi	195	11,8			13,9	7								
2	Ofi	196	13,0			16,1			17,5	1					
2	Ofi	197	9,0			11,1	1								
2	Ofi	198	11,1			14,9			17,3	1					
1	Dgl	199	22,4		14,0	38,9			40,8	1					
2	Ofi	200	9,7			10,2	5								
2	Ofi	201	8,8			9,1	7								
2	Ofi	202	10,0			13,2			13,2	7	11,2				
2	Ofi	203	10,4			12,0	7								
3	Fi	204	16,8			31,1			44,2	1					
2	Ofi	205	9,1			11,0	7								
2	Ofi	206	12,2			15,9			16,5	7					
