Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:02:25
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 03
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	23.07.1984	23.07.1984	23.07.1984	21.06.1995	21.06.1995	21.06.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
2	Ofi	207	10,4			11,4	5								
3	Fi	208	11,8			22,0			26,3			28,7		25,1	
1	Dgl	209	13,9			18,2			20,6	1					
1	Dgl	210	12,6			16,6	7								
1	Dgl	211	12,9			17,8			21,2			26,5			
1	Dgl	212	17,4			30,9			42,1	1					
2	Ofi	213	11,0			11,2	5								
1	Dgl	214	16,3			25,5			34,3			40,9			
1	Dgl	215	5,9	1											
1	Dgl	216	12,8			23,0	1								
2	Ofi	217	15,5			18,6			19,0			19,2		16,8	
2	Ofi	218	12,0		9,5	16,5		14,0	17,4			18,0		16,9	
1	Dgl	219	6,2	1											
1	Dgl	220	6,5	1											
1	Dgl	221	16,2		11,5	27,5		22,2	41,9			49,5			
2	Ofi	222	6,0	1											
1	Dgl	223	4,6	1											
3	Fi	224	14,3			28,0			36,4	1					
2	Ofi	225	13,4		10,0	18,4		16,2	19,8	1					
1	Dgl	226	9,1			16,3			27,0			31,4			
2	Ofi	227	14,3			17,6	5								
2	Ofi	228	11,2		9,0	12,4	1	11,0							
2	Ofi	229	14,8			20,4			21,0			23,0		22,3	
2	Ofi	230	9,7			15,8	1								
2	Ofi	231	8,2	1											
3	Fi	232	10,4			18,4			25,0	1					
2	Ofi	233	9,8			12,1	1								
3	Fi	234	9,6			16,7			23,9			28,6		24,9	
1	Dgl	235	8,0			8,2	5								
1	Dgl	236	11,1		7,5	16,8		14,4	16,8	7					
3	Fi	237	8,2			15,9			21,4			25,1		22,6	
2	Ofi	238	9,6			11,1	1								
2	Ofi	239	14,0			15,8			16,0	1	16,0				
2	Ofi	240	10,8		8,5	13,3		11,9	13,4		12,4	13,8		12,9	
1	Dgl	241	16,3		11,5	25,9		20,5	36,5		26,4	44,2		30,0	
2	Ofi	242	10,9			14,3			14,6		16,3	14,8		16,3	
3	Fi	243	9,2			18,4	1	15,4							
2	Ofi	244	11,4			14,0			14,0	1	10,0				
2	Ofi	245	14,2			19,1			19,3			19,6		17,8	
2	Ofi	246	9,9			14,2			14,2	1	7,0				
1	Dgl	247	6,4	1											
1	Dgl	248	4,8			7,6	1								
