Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:02:25
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 03
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	23.07.1984	23.07.1984	23.07.1984	21.06.1995	21.06.1995	21.06.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	247	67	30	180	54	36	126	42	40	84	0	55	
2	Ofi	1	5,6			15,1			22,5			27,8		20,2	
2	Ofi	2	5,5			13,0			15,0	7	11,0				
3	Fi	3	5,0			11,4			14,6			17,8		15,1	
2	Ofi	4	5,8			14,4			22,8			26,8		17,1	
1	Dgl	5	3,7	1											
1	Dgl	6	6,4	1											
1	Dgl	7	3,2	1											
2	Ofi	8	4,5			10,0			10,0			19,3		13,5	
1	Dgl	9	5,8	1											
1	Dgl	10	15,1		10,5	27,7		18,9	41,5			50,9			
1	Dgl	11	5,3	1											
2	Ofi	12	3,9	1											
1	Dgl	13	10,8			17,6		16,3	23,0	7					
1	Dgl	14	14,0			25,7		19,8	41,5			51,2		32,7	
2	Ofi	15	6,2	1											
1	Dgl	16	12,9			19,9			29,1			34,4		28,5	
1	Dgl	17	9,2			18,7			36,9			46,2			
2	Ofi	18	5,0			6,7	5								
1	Dgl	19	17,9			35,4			44,0	1	24,7				
1	Dgl	20	9,9			22,0			35,0		24,0	44,0		28,8	
3	Fi	21	5,2			9,6	6								
1	Dgl	22	11,5			18,9			32,1			37,5			
3	Fi	23	5,2			7,6	1								
1	Dgl	24	5,5			7,3			8,2	1					
3	Fi	25	6,2	1											
1	Dgl	26	16,3			31,4			47,3			57,4		33,5	
3	Fi	27	6,2			11,2			11,6			12,0		13,1	
1	Dgl	28	8,5			11,6	5								
3	Fi	29	7,1	1											
1	Dgl	30	20,2			31,8			33,0	7	25,0				
1	Dgl	31	15,9		11,5	26,2		21,4	37,3			44,6		32,0	
1	Dgl	32	18,9		12,0	32,1		23,3	44,0	1					
1	Dgl	33	17,4		12,0	31,5	1	22,9							
1	Dgl	34	7,6			15,2			23,7			32,2			
1	Dgl	35	15,5		10,5	31,2		18,6	35,5			59,1		32,5	
1	Dgl	36	4,6	1											
1	Dgl	37	10,6			24,0			35,8			49,9			
3	Fi	38	5,6			11,3	1								
1	Dgl	39	11,2	1											
1	Dgl	40	9,4		7,5	14,3		11,2	17,5		11,4	20,0		12,2	
1	Dgl	41	18,6		14,5	33,0		23,0	36,0	1	24,0				
1	Dgl	42	10,3			12,4			13,1			14,1		13,7	
1	Dgl	43	18,1			29,6			43,0			53,3		34,1	
1	Dgl	44	11,8			16,0			16,0	1	18,0				
1	Dgl	45	22,2		11,5	35,9		20,0	35,9	7	22,0				
1	Dgl	46	18,3			29,4			38,1			45,6			
1	Dgl	47	15,3			19,2			19,2	7	20,0				
1	Dgl	48	18,4			28,5			37,2			42,8		29,8	
1	Dgl	49	20,8		14,0	32,3	1	22,5							
1	Dgl	50	16,4			19,8			19,8	1	21,0				
1	Dgl	51	17,8			27,1			35,8			44,5			
1	Dgl	52	16,4			25,0			25,0	7	12,0				
1	Dgl	53	5,0	1											
3	Fi	54	4,7			8,0	1								
3	Fi	55	9,8	1											
3	Fi	56	5,1	1											
3	Fi	57	5,6			7,8			16,5	1					
3	Fi	58	9,2			15,2			16,5			17,7			
1	Dgl	59	19,5			33,3			47,9			54,1			
1	Dgl	60	10,9			10,9	5								
1	Dgl	61	20,0		12,0	31,9		23,1	42,7			48,0			
1	Dgl	62	8,6	1											
1	Dgl	63	13,7			19,8			23,8			25,9		25,2	
1	Dgl	64	18,2			29,2			41,5			47,2			
2	Ofi	65	6,0	1											
1	Dgl	66	10,8	1											
1	Dgl	67	17,0			24,8			35,8			42,8			
3	Fi	68	10,2			16,0			18,4			20,8		24,1	
3	Fi	69	6,8	1											
1	Dgl	70	9,9			12,1			12,6	1					
1	Dgl	71	5,4	1											
1	Dgl	72	18,9			29,4			38,8		29,4	46,7		33,4	
1	Dgl	73	9,4			10,5	5								
1	Dgl	74	8,2			8,0	5								
1	Dgl	75	12,2			18,2			19,0	7	19,0				
1	Dgl	76	11,1			14,3			16,0	7	18,0				
1	Dgl	77	7,4			7,2	5								
2	Ofi	78	4,2			4,1	5								
1	Dgl	79	14,8		12,5	20,0		20,0	22,4		25,5	24,2		26,1	
3	Fi	80	15,8			23,5			26,9		24,4	29,7		25,2	
1	Dgl	81	20,4		14,5	33,4		24,2	47,2		31,5	56,7		35,2	
1	Dgl	82	10,2	1											
1	Dgl	83	10,6	1											
3	Fi	84	7,9	1											
1	Dgl	85	14,4			17,8	1	18,1							
1	Dgl	86	21,0		14,5	34,4		22,4	45,8		29,4	52,6		33,1	
1	Dgl	87	9,2			9,4	5								
3	Fi	88	9,2			11,7			11,7		13,0	12,7		13,8	
3	Fi	89	4,9	1											
1	Dgl	90	19,3			28,7			29,0	7	21,0				
1	Dgl	91	19,7			31,4			40,3		28,1	48,4		33,0	
1	Dgl	92	9,4	1											
1	Dgl	93	23,9			38,3			53,0	1	25,0				
1	Dgl	94	10,3	1											
2	Ofi	95	8,8	1											
3	Fi	96	5,4	1											
3	Fi	97	4,0	1											
1	Dgl	98	12,0			17,5			24,5			31,4			
1	Dgl	99	18,4		12,5	29,4	1	23,3							
3	Fi	100	9,1			9,5	5								
1	Dgl	101	12,1		8,5	17,4		17,9	24,8			30,1		27,1	
1	Dgl	102	7,6	1											
1	Dgl	103	27,4			44,5	1								
1	Dgl	104	18,7			28,2			39,4			46,1		30,3	
1	Dgl	105	16,0			26,8	2								
1	Dgl	106	17,1			27,8			38,7			47,6		32,6	
1	Dgl	107	15,7			23,3			31,3			37,5			
1	Dgl	108	8,5	1											
1	Dgl	109	11,4	1											
3	Fi	110	7,5	1											
1	Dgl	111	14,0			17,6		16,1	19,9		21,7	23,9		23,6	
1	Dgl	112	8,7	1											
1	Dgl	114	17,1			30,6			41,2		31,0	49,8		32,9	
1	Dgl	115	15,4			22,2			30,8		29,5	37,4		32,1	
1	Dgl	116	15,7			25,5		21,8	34,7	7					
1	Dgl	117	10,5			12,2			12,5	1					
1	Dgl	118	28,8		15,5	45,6	1	23,5							
1	Dgl	119	10,9		9,0	13,7	5	15,8							
1	Dgl	120	17,3		12,5	25,8		21,3	26,0	1	22,0				
1	Dgl	121	13,9	1											
2	Ofi	122	7,3	1											
3	Fi	123	18,6			29,8			40,5	1					
2	Ofi	124	12,1			14,1	1								
1	Dgl	125	13,7			19,7			27,7			31,2		30,8	
1	Dgl	126	10,8	1											
1	Dgl	127	6,8	1											
1	Dgl	128	12,6			16,7			23,6			26,8		25,2	
1	Dgl	129	10,1	1											
1	Dgl	130	6,5	1											
1	Dgl	131	8,9	1											
1	Dgl	132	8,0	1											
1	Dgl	133	4,5	1											
2	Ofi	134	6,9	1											
1	Dgl	135	15,0			17,6	5								
2	Ofi	136	7,4			7,0	5								
1	Dgl	137	19,4			30,0			40,0			48,1			
1	Dgl	138	15,5			20,3	7								
1	Dgl	139	14,5			20,9			26,3	1					
1	Dgl	140	6,0	1											
3	Fi	141	13,9			24,1			30,0			35,7		28,0	
1	Dgl	142	9,3	1	8,5										
1	Dgl	143	21,2			35,2		23,6	47,2	1					
1	Dgl	144	10,8	1											
1	Dgl	145	7,5	1											
3	Fi	146	8,6			14,6			16,1	1	18,5				
1	Dgl	147	12,8			14,9	1								
1	Dgl	148	12,1			16,0			16,0	1	12,0				
1	Dgl	149	10,1	1											
1	Dgl	150	13,8			19,8		18,9	29,3			36,7			
1	Dgl	151	5,6			5,5	5								
2	Ofi	152	11,4			15,8	1								
1	Dgl	153	8,3	1											
1	Dgl	154	18,2			31,6			41,8			51,9			
1	Dgl	155	11,4			15,4	1								
1	Dgl	156	11,3			14,4			14,4	7	11,0				
1	Dgl	157	18,2			30,2			45,1			50,1			
2	Ofi	158	13,4			14,5	5								
3	Fi	159	6,1			7,0	5								
1	Dgl	160	13,8			16,7			17,4			17,9		20,2	
1	Dgl	161	13,0			19,5			23,0	7	22,0				
2	Ofi	162	12,4			13,3	5								
1	Dgl	163	21,0			30,8	3								
1	Dgl	164	12,8			15,3			19,0			22,6			
3	Fi	165	3,8	1											
2	Ofi	166	15,5			17,9	5								
1	Dgl	167	18,8		14,0	37,2		22,3	50,7			59,3		32,4	
1	Dgl	168	5,6	1											
3	Fi	169	3,7	1											
3	Fi	170	4,5	1											
1	Dgl	171	12,0			18,9			28,3			34,4		31,3	
1	Dgl	172	15,0			22,7			28,3			31,7		25,4	
1	Dgl	173	16,2			25,9			36,7			43,8			
2	Ofi	174	8,1			8,3	5								
1	Dgl	175	21,2			31,3			38,8			42,5			
1	Dgl	176	13,9			24,5	1								
1	Dgl	177	4,7	1											
1	Dgl	178	5,3	1											
1	Dgl	179	8,4	1											
2	Ofi	180	14,6			17,9			18,2	1					
2	Ofi	181	14,4		9,5	16,5	2	14,4							
1	Dgl	182	12,9			20,9			31,5	1					
1	Dgl	183	5,0	1											
1	Dgl	184	12,2			19,5			21,2			22,9			
1	Dgl	185	22,2			31,2			38,6	1					
2	Ofi	186	12,6			13,0	5								
2	Ofi	187	12,9			16,4			16,4	1	13,0				
1	Dgl	188	15,8			27,6			41,0			49,3		34,8	
1	Dgl	189	6,9	1											
1	Dgl	190	3,7	1											
3	Fi	191	12,4			17,4			18,0			18,5		19,4	
1	Dgl	192	12,6			16,9			20,4			21,6			
1	Dgl	193	7,0			8,0	1								
1	Dgl	194	11,0			15,8			19,2			22,0		27,1	
1	Dgl	195	14,0			20,9			27,5			32,5			
3	Fi	196	12,0			19,1			23,5	1					
1	Dgl	197	10,0			12,3			12,8			13,7		20,4	
1	Dgl	198	5,1	1											
1	Dgl	199	16,9			27,9			36,1		26,9	41,2		28,8	
1	Dgl	200	7,4		8,5	7,9	7								
1	Dgl	201	16,1			26,3			35,3		27,7	40,9		31,7	
1	Dgl	202	13,5			18,4	2								
3	Fi	203	9,1			14,8			15,7			16,4		20,0	
1	Dgl	204	15,8			25,5			36,8		26,1	43,2		29,5	
2	Ofi	205	11,9			13,6	5								
1	Dgl	206	18,4		10,5	31,2		20,3	43,7			49,0			
