Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
2,Ofi,1,5.6,NA,NA,15.1,NA,NA,22.5,NA,NA,27.8,NA,20.2
2,Ofi,2,5.5,NA,NA,13.0,NA,NA,15.0,7,11.0,NA,NA,NA
3,Fi,3,5.0,NA,NA,11.4,NA,NA,14.6,NA,NA,17.8,NA,15.1
2,Ofi,4,5.8,NA,NA,14.4,NA,NA,22.8,NA,NA,26.8,NA,17.1
1,Dgl,5,3.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,6,6.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,7,3.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,8,4.5,NA,NA,10.0,NA,NA,10.0,NA,NA,19.3,NA,13.5
1,Dgl,9,5.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,10,15.1,NA,10.5,27.7,NA,18.9,41.5,NA,NA,50.9,NA,NA
1,Dgl,11,5.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,12,3.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,13,10.8,NA,NA,17.6,NA,16.3,23.0,7,NA,NA,NA,NA
1,Dgl,14,14.0,NA,NA,25.7,NA,19.8,41.5,NA,NA,51.2,NA,32.7
2,Ofi,15,6.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,16,12.9,NA,NA,19.9,NA,NA,29.1,NA,NA,34.4,NA,28.5
1,Dgl,17,9.2,NA,NA,18.7,NA,NA,36.9,NA,NA,46.2,NA,NA
2,Ofi,18,5.0,NA,NA,6.7,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,19,17.9,NA,NA,35.4,NA,NA,44.0,1,24.7,NA,NA,NA
1,Dgl,20,9.9,NA,NA,22.0,NA,NA,35.0,NA,24.0,44.0,NA,28.8
3,Fi,21,5.2,NA,NA,9.6,6,NA,NA,NA,NA,NA,NA,NA
1,Dgl,22,11.5,NA,NA,18.9,NA,NA,32.1,NA,NA,37.5,NA,NA
3,Fi,23,5.2,NA,NA,7.6,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,24,5.5,NA,NA,7.3,NA,NA,8.2,1,NA,NA,NA,NA
3,Fi,25,6.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,26,16.3,NA,NA,31.4,NA,NA,47.3,NA,NA,57.4,NA,33.5
3,Fi,27,6.2,NA,NA,11.2,NA,NA,11.6,NA,NA,12.0,NA,13.1
1,Dgl,28,8.5,NA,NA,11.6,5,NA,NA,NA,NA,NA,NA,NA
3,Fi,29,7.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,30,20.2,NA,NA,31.8,NA,NA,33.0,7,25.0,NA,NA,NA
1,Dgl,31,15.9,NA,11.5,26.2,NA,21.4,37.3,NA,NA,44.6,NA,32.0
1,Dgl,32,18.9,NA,12.0,32.1,NA,23.3,44.0,1,NA,NA,NA,NA
1,Dgl,33,17.4,NA,12.0,31.5,1,22.9,NA,NA,NA,NA,NA,NA
1,Dgl,34,7.6,NA,NA,15.2,NA,NA,23.7,NA,NA,32.2,NA,NA
1,Dgl,35,15.5,NA,10.5,31.2,NA,18.6,35.5,NA,NA,59.1,NA,32.5
1,Dgl,36,4.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,37,10.6,NA,NA,24.0,NA,NA,35.8,NA,NA,49.9,NA,NA
3,Fi,38,5.6,NA,NA,11.3,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,39,11.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,40,9.4,NA,7.5,14.3,NA,11.2,17.5,NA,11.4,20.0,NA,12.2
1,Dgl,41,18.6,NA,14.5,33.0,NA,23.0,36.0,1,24.0,NA,NA,NA
1,Dgl,42,10.3,NA,NA,12.4,NA,NA,13.1,NA,NA,14.1,NA,13.7
1,Dgl,43,18.1,NA,NA,29.6,NA,NA,43.0,NA,NA,53.3,NA,34.1
1,Dgl,44,11.8,NA,NA,16.0,NA,NA,16.0,1,18.0,NA,NA,NA
1,Dgl,45,22.2,NA,11.5,35.9,NA,20.0,35.9,7,22.0,NA,NA,NA
1,Dgl,46,18.3,NA,NA,29.4,NA,NA,38.1,NA,NA,45.6,NA,NA
1,Dgl,47,15.3,NA,NA,19.2,NA,NA,19.2,7,20.0,NA,NA,NA
1,Dgl,48,18.4,NA,NA,28.5,NA,NA,37.2,NA,NA,42.8,NA,29.8
1,Dgl,49,20.8,NA,14.0,32.3,1,22.5,NA,NA,NA,NA,NA,NA
1,Dgl,50,16.4,NA,NA,19.8,NA,NA,19.8,1,21.0,NA,NA,NA
1,Dgl,51,17.8,NA,NA,27.1,NA,NA,35.8,NA,NA,44.5,NA,NA
1,Dgl,52,16.4,NA,NA,25.0,NA,NA,25.0,7,12.0,NA,NA,NA
1,Dgl,53,5.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,54,4.7,NA,NA,8.0,1,NA,NA,NA,NA,NA,NA,NA
3,Fi,55,9.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,56,5.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,57,5.6,NA,NA,7.8,NA,NA,16.5,1,NA,NA,NA,NA
3,Fi,58,9.2,NA,NA,15.2,NA,NA,16.5,NA,NA,17.7,NA,NA
1,Dgl,59,19.5,NA,NA,33.3,NA,NA,47.9,NA,NA,54.1,NA,NA
1,Dgl,60,10.9,NA,NA,10.9,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,61,20.0,NA,12.0,31.9,NA,23.1,42.7,NA,NA,48.0,NA,NA
1,Dgl,62,8.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,63,13.7,NA,NA,19.8,NA,NA,23.8,NA,NA,25.9,NA,25.2
1,Dgl,64,18.2,NA,NA,29.2,NA,NA,41.5,NA,NA,47.2,NA,NA
2,Ofi,65,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,66,10.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,67,17.0,NA,NA,24.8,NA,NA,35.8,NA,NA,42.8,NA,NA
3,Fi,68,10.2,NA,NA,16.0,NA,NA,18.4,NA,NA,20.8,NA,24.1
3,Fi,69,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,70,9.9,NA,NA,12.1,NA,NA,12.6,1,NA,NA,NA,NA
1,Dgl,71,5.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,72,18.9,NA,NA,29.4,NA,NA,38.8,NA,29.4,46.7,NA,33.4
1,Dgl,73,9.4,NA,NA,10.5,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,74,8.2,NA,NA,8.0,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,75,12.2,NA,NA,18.2,NA,NA,19.0,7,19.0,NA,NA,NA
1,Dgl,76,11.1,NA,NA,14.3,NA,NA,16.0,7,18.0,NA,NA,NA
1,Dgl,77,7.4,NA,NA,7.2,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,78,4.2,NA,NA,4.1,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,79,14.8,NA,12.5,20.0,NA,20.0,22.4,NA,25.5,24.2,NA,26.1
3,Fi,80,15.8,NA,NA,23.5,NA,NA,26.9,NA,24.4,29.7,NA,25.2
1,Dgl,81,20.4,NA,14.5,33.4,NA,24.2,47.2,NA,31.5,56.7,NA,35.2
1,Dgl,82,10.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,83,10.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,84,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,85,14.4,NA,NA,17.8,1,18.1,NA,NA,NA,NA,NA,NA
1,Dgl,86,21.0,NA,14.5,34.4,NA,22.4,45.8,NA,29.4,52.6,NA,33.1
1,Dgl,87,9.2,NA,NA,9.4,5,NA,NA,NA,NA,NA,NA,NA
3,Fi,88,9.2,NA,NA,11.7,NA,NA,11.7,NA,13.0,12.7,NA,13.8
3,Fi,89,4.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,90,19.3,NA,NA,28.7,NA,NA,29.0,7,21.0,NA,NA,NA
1,Dgl,91,19.7,NA,NA,31.4,NA,NA,40.3,NA,28.1,48.4,NA,33.0
1,Dgl,92,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,93,23.9,NA,NA,38.3,NA,NA,53.0,1,25.0,NA,NA,NA
1,Dgl,94,10.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,95,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,96,5.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,97,4.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,98,12.0,NA,NA,17.5,NA,NA,24.5,NA,NA,31.4,NA,NA
1,Dgl,99,18.4,NA,12.5,29.4,1,23.3,NA,NA,NA,NA,NA,NA
3,Fi,100,9.1,NA,NA,9.5,5,NA,NA,NA,NA,NA,NA,NA
