Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
2,Ofi,1,6.8,NA,NA,15.1,NA,11.8,37.1,1,NA,NA,NA,NA
1,Dgl,2,7.6,NA,NA,20.2,NA,13.5,24.0,NA,NA,48.8,NA,26.8
2,Ofi,3,8.0,NA,NA,13.9,NA,NA,16.5,7,NA,NA,NA,NA
2,Ofi,4,5.5,NA,NA,13.5,NA,NA,19.6,NA,NA,23.5,NA,14.2
2,Ofi,5,4.0,NA,3.5,13.5,NA,NA,16.9,NA,NA,18.2,NA,13.3
2,Ofi,6,3.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,7,6.1,NA,4.5,11.0,NA,NA,14.0,7,NA,NA,NA,NA
1,Dgl,8,16.0,NA,9.0,33.7,NA,19.7,38.5,7,NA,NA,NA,NA
2,Ofi,9,4.3,NA,NA,14.5,NA,NA,26.2,NA,NA,37.5,NA,24.5
3,Fi,10,4.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,11,3.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,12,8.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,13,6.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,14,11.8,NA,7.5,25.4,NA,NA,40.3,1,NA,NA,NA,NA
3,Fi,15,5.0,NA,NA,6.1,NA,NA,9.5,7,NA,NA,NA,NA
3,Fi,16,3.5,NA,NA,4.2,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,17,4.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,18,8.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,19,5.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,20,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,21,5.6,NA,NA,7.3,NA,NA,10.5,7,NA,NA,NA,NA
1,Dgl,22,11.4,NA,8.0,19.6,NA,17.8,24.5,7,NA,NA,NA,NA
1,Dgl,23,15.6,NA,10.0,34.5,NA,20.0,40.0,1,NA,NA,NA,NA
1,Dgl,24,4.3,NA,NA,8.5,NA,NA,12.5,7,NA,NA,NA,NA
1,Dgl,25,7.0,NA,5.2,11.0,NA,13.5,14.0,NA,NA,19.3,NA,NA
1,Dgl,26,11.0,NA,6.5,16.6,NA,16.3,24.8,NA,NA,33.3,NA,27.5
1,Dgl,27,11.0,NA,7.2,23.7,NA,17.2,36.6,NA,NA,49.4,NA,NA
2,Ofi,28,8.0,NA,5.7,15.9,NA,12.5,17.0,NA,NA,18.5,NA,16.6
1,Dgl,29,3.2,1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,30,3.8,NA,2.8,6.4,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,31,12.3,NA,8.5,24.2,NA,19.2,29.0,1,NA,NA,NA,NA
2,Ofi,32,5.9,NA,4.0,12.2,NA,9.3,14.7,NA,NA,16.1,NA,15.6
1,Dgl,33,4.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,34,8.0,NA,NA,15.4,NA,NA,21.0,NA,NA,26.0,NA,NA
1,Dgl,35,8.2,1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,36,4.7,NA,4.0,6.4,NA,6.5,9.5,7,NA,NA,NA,NA
2,Ofi,37,6.4,NA,4.5,9.4,NA,NA,12.5,7,NA,NA,NA,NA
1,Dgl,38,13.0,NA,9.0,24.2,NA,19.3,34.0,NA,NA,42.0,NA,NA
1,Dgl,39,16.6,NA,NA,30.3,NA,17.8,32.0,1,22.0,NA,NA,NA
1,Dgl,40,10.7,NA,7.0,18.4,NA,NA,22.5,7,12.0,NA,NA,NA
1,Dgl,41,16.1,NA,11.0,27.7,NA,20.3,36.3,NA,NA,42.8,NA,NA
2,Ofi,42,8.2,NA,NA,12.1,NA,10.0,15.5,7,NA,NA,NA,NA
1,Dgl,43,10.2,NA,NA,19.2,NA,NA,26.1,NA,NA,32.4,NA,NA
1,Dgl,44,23.1,NA,12.5,36.5,NA,23.0,41.5,7,NA,NA,NA,NA
2,Ofi,45,4.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,46,4.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,47,9.5,NA,NA,13.2,NA,NA,16.5,7,NA,NA,NA,NA
1,Dgl,48,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,49,7.9,NA,NA,11.0,NA,NA,16.0,7,NA,NA,NA,NA
3,Fi,50,7.9,NA,NA,13.8,NA,NA,16.5,7,NA,NA,NA,NA
1,Dgl,51,21.4,NA,12.5,38.6,NA,24.0,43.6,1,NA,NA,NA,NA
3,Fi,52,6.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,53,6.5,NA,NA,14.7,NA,NA,20.9,NA,NA,27.5,NA,21.9
1,Dgl,54,9.8,NA,8.0,17.3,NA,NA,29.1,NA,NA,39.6,NA,30.3
1,Dgl,55,4.8,NA,NA,5.6,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,56,9.2,NA,NA,14.1,NA,12.7,17.5,7,NA,NA,NA,NA
1,Dgl,57,12.4,NA,NA,20.8,NA,NA,47.8,1,NA,NA,NA,NA
3,Fi,58,12.5,NA,10.0,18.3,NA,18.0,41.4,1,NA,NA,NA,NA
1,Dgl,59,14.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,60,3.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,62,8.2,NA,NA,9.4,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,63,6.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,64,7.6,NA,NA,9.8,NA,NA,16.5,1,NA,NA,NA,NA
1,Dgl,65,12.8,NA,NA,16.7,NA,NA,24.6,1,NA,NA,NA,NA
1,Dgl,66,16.0,NA,NA,28.1,NA,19.8,37.4,NA,NA,44.1,NA,NA
3,Fi,67,5.8,NA,NA,7.1,5,NA,NA,NA,NA,NA,NA,NA
3,Fi,68,9.2,NA,NA,14.4,NA,NA,16.2,NA,NA,17.2,NA,21.3
2,Ofi,69,4.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,70,15.0,NA,NA,26.7,NA,NA,35.1,NA,NA,41.3,NA,NA
