Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
3,Fi,295,10.0,NA,NA,22.4,NA,NA,31.9,NA,NA,35.9,NA,29.9
2,Ofi,296,4.2,NA,NA,4.6,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,297,7.2,NA,NA,8.4,5,NA,NA,NA,NA,NA,NA,NA
3,Fi,298,14.0,NA,10.5,23.7,NA,NA,28.9,NA,NA,31.3,NA,26.2
3,Fi,299,8.2,NA,NA,13.6,NA,NA,16.5,7,NA,NA,NA,NA
3,Fi,300,9.1,NA,NA,13.4,NA,NA,16.0,7,NA,NA,NA,NA
3,Fi,301,7.0,NA,NA,8.2,7,NA,NA,NA,NA,NA,NA,NA
3,Fi,302,4.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,303,16.5,NA,10.0,29.6,NA,19.0,33.5,7,NA,NA,NA,NA
1,Dgl,304,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,305,17.6,NA,NA,27.8,NA,NA,42.5,NA,19.0,51.7,NA,NA
2,Ofi,306,11.6,NA,NA,14.0,NA,14.8,17.0,7,NA,NA,NA,NA
2,Ofi,307,14.0,NA,9.5,18.2,NA,16.8,26.0,1,NA,NA,NA,NA
2,Ofi,308,15.9,NA,10.0,20.2,NA,NA,21.4,NA,NA,23.1,NA,NA
2,Ofi,309,13.5,NA,8.0,18.2,NA,15.0,20.0,NA,NA,21.4,NA,NA
1,Dgl,310,15.8,NA,NA,27.0,NA,NA,38.1,NA,NA,45.3,NA,29.9
2,Ofi,311,11.2,NA,NA,15.7,NA,NA,18.5,1,NA,NA,NA,NA
3,Fi,312,11.9,NA,8.5,19.9,NA,NA,22.5,NA,NA,26.0,NA,18.5
1,Dgl,313,17.1,NA,NA,29.0,NA,19.5,41.1,NA,26.8,49.3,NA,30.6
1,Dgl,314,13.4,NA,10.0,20.1,NA,18.0,28.0,1,24.9,NA,NA,NA
3,Fi,315,14.4,NA,NA,27.6,NA,NA,35.0,NA,26.3,48.3,NA,30.2
3,Fi,316,8.1,NA,NA,9.5,NA,NA,12.5,7,NA,NA,NA,NA
2,Ofi,317,11.8,NA,NA,14.5,NA,13.5,16.5,7,NA,NA,NA,NA
2,Ofi,318,9.9,NA,NA,10.9,NA,NA,13.5,7,NA,NA,NA,NA
1,Dgl,319,5.7,1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,320,15.7,NA,9.0,24.8,NA,17.2,34.8,1,26.0,NA,NA,NA
2,Ofi,321,15.8,NA,9.0,22.8,NA,15.8,26.5,7,NA,NA,NA,NA
2,Ofi,322,9.8,NA,7.5,15.1,NA,14.2,17.5,7,NA,NA,NA,NA
1,Dgl,323,6.3,NA,4.5,10.9,NA,11.7,13.5,7,NA,NA,NA,NA
3,Fi,324,4.0,NA,2.7,7.9,NA,NA,10.5,7,NA,NA,NA,NA
3,Fi,325,5.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,326,10.1,NA,NA,22.2,NA,NA,26.5,NA,NA,46.3,NA,NA
