Bestandeseinheit,Baumart,Baumnummer,D_1958,Aus_1958,H_1958,D_1964,Aus_1964,H_1964,D_1974,Aus_1974,H_1974,D_1981,Aus_1981,H_1981,D_1992,Aus_1992,H_1992,D_2001,Aus_2001,H_2001,D_2008,Aus_2008,H_2008,D_2011,Aus_2011,H_2011,D_2015,Aus_2015,H_2015
1,Bu,28,9.6,NA,NA,10.4,NA,NA,10.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,29,16.9,NA,NA,18.8,NA,NA,20.2,NA,NA,20.8,NA,NA,21.2,NA,NA,21.3,NA,NA,21.4,NA,NA,21.5,NA,NA,21.3,NA,NA
1,Bu,30,22.0,NA,NA,25.3,NA,NA,30.5,NA,NA,34.0,NA,NA,40.0,NA,NA,43.0,NA,NA,44.7,NA,NA,45.0,NA,NA,46.4,NA,NA
1,Bu,31,15.0,NA,NA,16.4,NA,NA,17.2,NA,NA,17.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,32,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,33,14.2,NA,NA,16.0,NA,NA,17.8,NA,NA,19.1,NA,24.0,20.0,NA,NA,20.2,NA,NA,20.2,NA,NA,20.3,3,NA,NA,NA,NA
1,Bu,34,17.7,NA,NA,20.2,NA,NA,24.0,NA,NA,25.4,NA,NA,27.8,NA,NA,29.6,NA,NA,30.4,NA,NA,30.8,NA,NA,31.4,NA,NA
1,Bu,35,16.6,NA,NA,19.1,NA,NA,22.7,NA,26.0,25.0,NA,NA,29.3,NA,NA,32.2,NA,NA,34.4,NA,NA,35.0,NA,NA,36.1,NA,NA
1,Bu,36,18.6,NA,19.5,21.3,NA,NA,24.0,NA,NA,25.7,NA,NA,28.6,NA,NA,31.0,NA,NA,32.3,NA,NA,32.8,NA,NA,33.9,NA,NA
1,Bu,37,10.1,NA,NA,10.4,NA,NA,10.1,1,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,38,14.3,NA,18.0,16.6,NA,NA,17.8,NA,NA,18.8,NA,24.7,19.2,NA,26.0,19.2,NA,24.6,19.1,NA,27.5,19.3,NA,24.2,19.4,NA,NA
1,Bu,39,20.5,NA,20.5,24.2,NA,NA,29.6,NA,NA,32.3,NA,31.5,36.9,NA,32.5,40.7,NA,35.8,42.8,NA,38.0,44.0,NA,36.6,45.2,NA,38.4
1,Bu,40,9.6,NA,11.0,10.1,NA,NA,9.8,1,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,41,10.2,NA,NA,10.4,NA,NA,10.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,42,24.2,NA,NA,29.6,NA,NA,34.8,NA,NA,37.6,NA,NA,40.9,NA,NA,43.6,NA,NA,44.7,NA,NA,45.3,NA,NA,45.8,NA,NA
1,Bu,43,8.2,NA,NA,8.4,NA,NA,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,44,11.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,45,7.5,NA,NA,7.6,NA,NA,7.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,46,16.2,NA,19.5,18.1,NA,NA,20.6,NA,NA,21.9,NA,27.3,23.9,NA,29.0,25.1,NA,33.4,25.4,NA,36.1,25.5,NA,34.5,26.2,NA,37.4
1,Bu,47,17.6,NA,NA,20.4,NA,NA,23.6,NA,NA,25.2,NA,NA,28.3,NA,NA,29.9,NA,NA,31.8,NA,NA,32.3,NA,NA,33.5,NA,42.0
1,Bu,48,18.6,NA,NA,21.8,NA,NA,25.0,NA,NA,25.8,NA,NA,28.3,NA,NA,30.6,NA,NA,31.8,NA,NA,32.8,NA,NA,33.2,NA,NA
1,Bu,49,12.2,NA,NA,12.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,50,17.9,NA,18.5,21.5,NA,NA,27.5,NA,29.0,30.4,NA,30.1,35.6,NA,31.0,39.3,NA,35.2,41.3,NA,39.3,42.0,NA,36.6,43.7,NA,NA
1,Bu,51,10.0,NA,NA,10.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,52,9.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,53,15.2,NA,17.5,17.0,NA,NA,19.2,NA,24.0,19.6,NA,NA,20.0,NA,NA,20.2,NA,NA,20.2,NA,NA,20.0,3,NA,NA,NA,NA
1,Bu,54,9.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,55,18.2,NA,19.6,21.6,NA,NA,25.0,NA,NA,26.4,NA,NA,28.6,NA,NA,30.0,NA,NA,30.8,NA,NA,31.5,NA,NA,32.0,NA,NA
1,Bu,56,7.8,NA,NA,7.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,57,10.2,NA,NA,10.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,58,8.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ah,59,10.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ah,60,14.0,NA,NA,14.4,NA,NA,14.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ah,61,20.2,NA,NA,21.0,NA,NA,21.2,NA,NA,21.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
