Bestandeseinheit,Baumart,Baumnummer,D_1958,Aus_1958,H_1958,D_1964,Aus_1964,H_1964,D_1971,Aus_1971,H_1971,D_1981,Aus_1981,H_1981,D_1992,Aus_1992,H_1992,D_2001,Aus_2001,H_2001,D_2008,Aus_2008,H_2008,D_2011,Aus_2011,H_2011,D_2015,Aus_2015,H_2015
1,Bu,1,20.5,NA,NA,24.4,NA,NA,29.6,NA,NA,35.5,NA,NA,41.2,NA,33.0,44.9,NA,NA,47.6,NA,NA,48.3,NA,NA,49.7,NA,38.4
1,Bu,2,9.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3,12.6,NA,NA,13.4,NA,NA,13.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4,14.2,NA,NA,15.4,NA,NA,16.8,NA,NA,17.1,NA,NA,17.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5,21.2,NA,NA,24.4,NA,NA,28.6,NA,26.0,32.8,NA,31.2,39.0,NA,34.5,44.0,NA,NA,46.6,NA,NA,48.5,NA,NA,50.7,NA,NA
1,Bu,6,9.0,NA,NA,9.2,NA,NA,9.2,NA,NA,9.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,7,9.6,NA,NA,9.9,NA,NA,10.0,NA,NA,10.1,NA,NA,9.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,8,11.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ah,9,15.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,10,13.6,NA,NA,14.6,NA,NA,15.9,NA,23.1,17.1,7,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,11,17.8,NA,NA,21.0,NA,NA,24.5,NA,25.1,27.8,NA,28.4,29.6,NA,31.0,31.1,NA,NA,32.2,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,12,17.5,NA,NA,20.2,NA,NA,23.2,NA,NA,26.0,NA,NA,25.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,13,9.0,NA,NA,10.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,14,18.1,NA,20.0,22.2,NA,NA,26.8,NA,23.5,32.1,NA,23.9,38.2,NA,31.0,44.0,NA,NA,46.9,NA,NA,48.5,NA,NA,50.3,NA,NA
1,Bu,15,8.4,NA,NA,8.8,NA,NA,8.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,16,10.0,NA,NA,10.4,NA,NA,10.4,NA,NA,10.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,17,9.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,18,9.6,NA,NA,10.6,NA,NA,10.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,19,11.5,NA,NA,12.3,NA,NA,12.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,20,10.9,NA,NA,11.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21,13.1,NA,NA,14.2,NA,NA,14.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,22,12.4,NA,NA,14.9,NA,NA,16.3,NA,NA,16.7,NA,NA,16.7,NA,NA,17.0,NA,NA,16.9,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,23,14.6,NA,NA,17.2,NA,NA,18.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,24,25.8,NA,NA,28.4,NA,NA,31.7,NA,NA,35.7,NA,NA,39.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,25,11.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,26,16.2,NA,NA,18.9,NA,NA,22.0,NA,NA,26.4,NA,NA,30.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,27,8.8,NA,NA,8.9,NA,NA,9.0,NA,NA,9.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,28,12.2,NA,17.0,12.4,NA,NA,13.0,NA,18.7,12.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,29,9.2,2,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,30,21.0,NA,NA,22.4,NA,NA,23.5,NA,NA,24.4,NA,NA,24.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ah,31,18.0,NA,NA,18.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,32,14.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
