Bestandeseinheit,Baumart,Baumnummer,D_1958,Aus_1958,H_1958,D_1964,Aus_1964,H_1964,D_1971,Aus_1971,H_1971,D_1981,Aus_1981,H_1981,D_1992,Aus_1992,H_1992,D_2001,Aus_2001,H_2001,D_2008,Aus_2008,H_2008,D_2011,Aus_2011,H_2011,D_2015,Aus_2015,H_2015
1,Bu,1,14.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2,20.2,NA,NA,23.6,NA,NA,27.6,NA,NA,31.9,NA,NA,36.2,NA,NA,38.9,NA,NA,40.7,NA,NA,40.8,NA,NA,42.0,2,NA
1,Bu,3,7.7,NA,NA,7.9,NA,NA,7.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4,12.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5,12.6,NA,NA,13.9,NA,NA,15.4,NA,NA,16.3,NA,NA,16.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,6,19.5,2,21.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,7,6.7,NA,NA,8.3,NA,NA,8.8,NA,NA,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,8,15.2,NA,17.0,16.7,NA,NA,19.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,9,12.0,NA,15.0,13.1,NA,NA,15.0,NA,NA,15.6,NA,NA,15.9,NA,NA,16.8,NA,NA,17.4,1,NA,NA,NA,NA,NA,NA,NA
1,Bu,10,8.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,11,20.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,12,11.2,NA,NA,11.0,NA,NA,11.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,13,10.3,NA,NA,10.5,NA,NA,10.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,14,17.9,NA,NA,20.2,NA,NA,23.9,NA,NA,29.0,NA,NA,34.7,NA,34.5,41.2,NA,NA,45.8,NA,NA,47.8,NA,NA,50.4,NA,NA
1,Bu,15,18.4,NA,NA,21.4,NA,NA,25.8,NA,NA,31.4,NA,NA,38.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,16,10.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,17,12.4,NA,NA,13.7,NA,NA,14.9,NA,NA,15.2,NA,NA,15.3,NA,NA,17.4,NA,NA,18.3,1,NA,NA,NA,NA,NA,NA,NA
1,Bu,18,11.1,NA,NA,12.0,NA,NA,12.4,NA,NA,12.3,NA,NA,12.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,19,16.3,NA,20.0,18.7,NA,NA,21.7,NA,NA,25.8,NA,NA,29.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,20,9.8,NA,14.0,10.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21,12.6,NA,15.0,13.6,NA,NA,14.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,22,8.2,NA,NA,8.2,NA,NA,8.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,23,22.0,NA,NA,23.9,NA,NA,27.3,NA,NA,30.6,NA,NA,35.3,NA,34.0,39.8,NA,34.5,42.8,NA,37.7,43.0,NA,37.3,45.0,NA,40.1
1,Bu,24,21.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,25,19.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,26,18.4,NA,21.5,20.8,NA,NA,24.9,NA,NA,29.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
