Bestandeseinheit,Baumart,Baumnummer,D_1958,Aus_1958,H_1958,D_1964,Aus_1964,H_1964,D_1971,Aus_1971,H_1971,D_1981,Aus_1981,H_1981,D_1992,Aus_1992,H_1992,D_2001,Aus_2001,H_2001,D_2008,Aus_2008,H_2008,D_2011,Aus_2011,H_2011,D_2015,Aus_2015,H_2015
1,Bu,1,23.6,NA,NA,25.5,NA,NA,27.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2,20.6,NA,NA,22.1,NA,NA,24.0,NA,30.1,26.4,NA,32.3,29.8,NA,35.5,33.1,NA,36.7,36.1,2,38.0,NA,NA,NA,NA,NA,NA
1,Bu,3,14.6,NA,NA,15.4,NA,NA,15.8,NA,NA,15.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4,17.2,NA,NA,19.0,NA,NA,21.0,NA,NA,23.1,NA,NA,25.1,NA,NA,26.0,NA,NA,25.6,6,NA,NA,NA,NA,NA,NA,NA
1,Bu,5,16.2,NA,NA,16.8,NA,NA,18.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,6,19.8,NA,NA,21.4,NA,NA,23.2,NA,28.0,25.2,NA,30.7,27.5,NA,33.0,28.1,NA,33.0,28.5,NA,35.3,28.3,NA,32.6,29.6,2,NA
1,Bu,7,26.6,NA,NA,27.4,NA,NA,27.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,8,22.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,9,21.2,NA,NA,23.6,NA,NA,27.8,NA,NA,31.8,NA,NA,36.8,NA,NA,40.5,NA,NA,42.9,NA,NA,43.0,NA,NA,44.6,NA,NA
1,Bu,10,22.2,NA,NA,23.4,NA,NA,24.8,NA,28.3,26.0,7,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,11,11.5,NA,18.5,11.5,NA,NA,11.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,12,11.2,2,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,13,16.3,2,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,14,9.8,2,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,15,18.0,NA,20.5,19.8,NA,NA,22.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,16,22.4,NA,NA,24.6,NA,NA,28.2,NA,29.0,32.2,NA,32.1,36.9,NA,35.0,40.8,NA,37.0,43.3,NA,40.1,44.5,NA,37.8,47.1,NA,NA
1,Bu,17,12.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,18,17.8,NA,NA,20.2,NA,NA,23.3,NA,NA,25.4,NA,NA,28.4,NA,NA,30.8,NA,NA,31.0,NA,NA,32.0,NA,NA,32.5,NA,NA
1,Bu,19,22.3,NA,NA,25.2,NA,NA,29.6,NA,31.4,32.9,NA,34.7,38.0,NA,37.0,42.3,NA,38.0,44.6,2,40.5,NA,NA,NA,NA,NA,NA
1,Bu,20,11.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21,12.6,NA,NA,12.9,NA,NA,12.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
