Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  14:59:12
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 02
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	24.07.1984	24.07.1984	24.07.1984	21.06.1995	21.06.1995	21.06.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	267	27	28	240	110	30	130	57	66	73	0	31	
1	Dgl	1	6,2			9,1	1								
1	Dgl	2	8,0			14,5	1								
1	Dgl	3	4,5			5,4	1								
1	Dgl	4	5,5	1											
1	Dgl	5	7,9	1											
1	Dgl	6	28,8		16,0	45,9		23,5	60,1		30,6	70,4		33,2	
1	Dgl	7	10,8			15,2	1								
1	Dgl	8	19,4		14,5	34,7	1	23,6							
1	Dgl	9	15,6			22,6			28,7			34,1			
1	Dgl	10	12,8			24,1	1								
1	Dgl	11	9,4	1											
1	Dgl	12	17,3			27,4			30,0	7	22,6				
1	Dgl	13	6,3			6,3	5								
1	Dgl	14	18,7			20,5			33,2			45,8			
1	Dgl	15	17,4			21,7	2								
1	Dgl	16	14,9			25,5	1								
1	Dgl	17	16,9			25,5			34,7			41,5			
1	Dgl	18	10,3			14,9	1								
1	Dgl	19	23,2			37,1	1	23,9							
1	Dgl	20	16,4			24,1			28,0	7	22,8				
1	Dgl	21	17,1			26,3			26,4	7	21,0				
1	Dgl	22	17,5		12,5	29,0		19,6	38,6		27,1	45,2		30,1	
1	Dgl	23	23,7		13,5	35,8	1	22,6							
1	Dgl	24	21,2			32,7			43,9			51,0		31,4	
1	Dgl	25	11,9			16,2			19,3			21,2			
1	Dgl	26	11,5			15,6			16,0	7	21,8				
1	Dgl	27	14,6			23,1			32,7			37,2			
1	Dgl	28	14,0			23,0			29,5			33,9			
2	Ofi	29	12,7		9,0	18,7	1								
1	Dgl	30	17,2		12,0	27,4		19,5	39,8		26,1	46,4		30,3	
2	Ofi	31	7,0		6,5	7,2	5								
1	Dgl	32	15,9		12,5	29,0		19,5	39,5		27,2	44,8		29,4	
1	Dgl	33	10,4		10,5	15,4		14,5	17,6		22,7	19,6		22,7	
1	Dgl	34	19,0			29,5			30,0	7	23,4				
1	Dgl	35	12,8			25,1			26,3			27,5		24,7	
1	Dgl	36	16,2			22,7	1								
2	Ofi	37	6,3	1											
1	Dgl	38	17,8			27,2			35,5			41,9			
1	Dgl	39	11,6	1											
1	Dgl	40	11,4			14,5			18,9			19,9			
1	Dgl	41	12,4			18,4			22,3			25,2			
1	Dgl	42	15,2			22,4			28,7			34,3			
1	Dgl	43	13,0			17,3			19,8			23,9			
1	Dgl	44	12,2			16,6			16,6	7	14,9				
1	Dgl	45	7,7	1											
1	Dgl	46	10,4			16,0			17,0	7	18,6				
1	Dgl	47	15,6			27,9			39,1			44,8			
1	Dgl	48	7,4	1											
1	Dgl	49	10,3			15,7		20,2	17,0	7	20,2				
1	Dgl	50	17,2			28,8			34,8			38,0			
1	Dgl	51	19,1		13,5	32,2		21,4	41,1			47,3			
1	Dgl	52	4,3			5,2	5								
1	Dgl	53	17,7			30,6			40,8			46,7			
1	Dgl	54	6,4			9,6	5								
1	Dgl	55	6,1			11,2			12,0	7	13,4				
1	Dgl	56	5,5	1											
1	Dgl	57	16,8			26,4			29,0	7	29,0				
1	Dgl	58	7,0			9,0	1								
1	Dgl	59	10,8			18,4			20,0	7	21,6				
1	Dgl	60	5,7	1											
1	Dgl	61	15,1			23,1			28,3			32,3			
1	Dgl	62	8,0			9,6	1								
1	Dgl	63	18,9			33,1			44,8			49,8		33,3	
1	Dgl	64	13,4			16,0			16,6	7	17,3				
1	Dgl	65	16,8			26,4			36,6			42,9			
1	Dgl	66	12,8			20,9			27,6			31,2			
1	Dgl	67	10,5			13,9			14,0			16,5			
1	Dgl	68	17,5			30,7			33,0	7	24,5				
1	Dgl	69	11,8			13,4	1								
1	Dgl	70	7,1			7,4	5								
1	Dgl	71	19,3			33,9		21,7	44,6			51,5		31,9	
1	Dgl	72	8,0	1											
1	Dgl	73	11,8			20,6		18,9	27,6	1					
1	Dgl	74	18,0		13,5	30,1		21,2	31,0		24,1	46,0			
1	Dgl	75	9,7		10,0	11,2	5	13,5							
1	Dgl	76	8,8	1	7,5										
1	Dgl	77	8,8	1											
2	Ofi	78	8,9			13,4	5								
1	Dgl	79	17,2			26,1			36,1		26,4	39,3		29,2	
1	Dgl	80	15,4			22,5			23,0	7	22,7				
1	Dgl	81	7,6			8,3	7								
1	Dgl	82	16,9			27,3			38,0			41,9			
1	Dgl	83	15,4		11,5	27,0		19,0	30,0	7	23,4				
1	Dgl	84	14,8		11,5	21,2		18,8	25,7	1					
1	Dgl	85	17,6			27,0			28,0	7	18,5				
1	Dgl	86	17,0			25,2			30,9			36,4		28,3	
1	Dgl	87	12,8			17,8	1								
1	Dgl	88	10,7			11,6	1								
1	Dgl	89	20,8			35,1			45,6		29,7	50,9		34,0	
1	Dgl	90	10,2			11,7	1								
1	Dgl	91	14,2			21,0			27,7	1					
1	Dgl	92	15,9		11,5	24,0	3	19,0							
1	Dgl	93	8,8			10,0	1								
1	Dgl	94	12,1		13,5	19,6		19,2	28,7			35,8		30,6	
1	Dgl	95	14,2		12,5	19,5		18,7	20,0		18,9	44,2		31,3	
1	Dgl	96	14,4		11,5	26,6	1	21,0							
1	Dgl	97	14,4			20,0	7								
1	Dgl	98	12,7			15,9	1								
1	Dgl	99	11,2	1											
1	Dgl	100	9,0			10,2	1								
1	Dgl	101	20,8			32,6			39,1			43,0			
1	Dgl	102	11,7			13,0	1								
1	Dgl	103	12,6			19,6			24,1			26,5			
1	Dgl	104	13,3			16,6			18,5			20,0		25,4	
1	Dgl	105	13,9			20,5			27,5			34,3			
1	Dgl	106	15,9			23,1	7								
1	Dgl	107	9,8			11,3	1								
1	Dgl	108	14,1			18,3			20,3			22,6			
1	Dgl	109	20,3			31,1			38,5			44,2			
1	Dgl	110	11,8			12,9	1								
1	Dgl	111	20,7			30,0			38,6			44,6		32,2	
1	Dgl	112	7,0			6,8	5								
1	Dgl	113	12,6			18,0			24,4			25,0		25,8	
1	Dgl	114	10,3			12,1	1								
1	Dgl	115	11,4			15,3	1								
1	Dgl	116	10,4			16,2	1								
1	Dgl	117	7,2	1											
1	Dgl	118	9,2	1											
1	Dgl	119	9,0			16,1	2								
1	Dgl	120	10,3			15,0	1								
1	Dgl	121	10,1			14,4			14,4	7	17,4				
1	Dgl	122	4,6			4,9	1								
1	Dgl	123	11,1			16,8			23,1			28,9			
1	Dgl	124	11,6			19,8	1								
1	Dgl	125	15,3			22,7			30,4			34,0			
2	Ofi	126	8,1			7,8	5								
1	Dgl	127	22,0			32,8			40,3			48,5			
1	Dgl	128	13,5			18,4	1								
1	Dgl	129	6,4			5,8	5								
1	Dgl	130	16,7			22,3	1								
1	Dgl	131	15,0			17,6			17,6	7	12,9				
1	Dgl	132	14,6			20,4			21,0	7	18,6				
1	Dgl	133	12,8			18,6			20,0	7	24,1				
1	Dgl	134	15,0			19,5	7								
1	Dgl	135	9,0			9,2	5								
1	Dgl	136	9,4			11,4	1								
1	Dgl	137	19,3			30,9			33,0	7	25,3				
1	Dgl	138	8,2			9,3	7								
1	Dgl	139	7,0	1											
1	Dgl	140	14,2			21,2			30,7		25,9	41,8		27,9	
1	Dgl	141	10,0			12,0			12,0	7	12,9				
1	Dgl	142	13,4	1											
1	Dgl	143	14,2			21,7			28,2			33,4			
1	Dgl	144	10,5			15,3			17,7	1					
1	Dgl	145	8,4			8,7	7								
1	Dgl	146	11,0			13,9			16,2			17,7			
1	Dgl	147	16,2		13,0	24,6		20,5	32,9		28,2	38,0		32,2	
1	Dgl	148	12,8			16,3	7								
1	Dgl	149	22,4		14,0	36,2		19,5	47,0		29,8	56,3		31,1	
1	Dgl	150	9,6			10,3			10,3	7	12,7				
1	Dgl	151	11,9			14,7			17,2	1					
1	Dgl	152	15,2			21,7	2								
1	Dgl	153	15,1			20,4			22,0	7	23,7				
1	Dgl	154	11,4			12,7	2								
1	Dgl	155	16,0			22,9	1								
1	Dgl	156	15,7			22,1			24,0	7	22,9				
1	Dgl	157	14,2			21,5			26,4			30,3			
1	Dgl	158	13,6			20,2			26,5			35,1			
1	Dgl	159	18,1			26,5			29,0	7	23,5				
1	Dgl	160	17,4			25,4			32,4	1					
1	Dgl	161	18,0			20,8	1								
1	Dgl	162	16,0			24,6			24,6	7	20,5				
1	Dgl	163	16,3			25,6			32,3	1					
1	Dgl	164	15,4			22,3			22,3	7	20,1				
1	Dgl	165	16,8			24,8			25,0	7	24,2				
1	Dgl	166	16,1			26,9			37,3			43,3			
1	Dgl	167	7,0			10,1	1								
1	Dgl	168	16,6			27,3			37,3			44,9			
1	Dgl	169	7,3			9,4	1								
1	Dgl	170	8,0	1											
1	Dgl	171	20,0			34,6	1								
1	Dgl	172	8,8			9,4	1								
1	Dgl	173	21,9			31,0			37,2	1					
1	Dgl	174	20,4			30,8			44,1			52,6			
1	Dgl	175	10,6			12,4			21,2			25,7			
2	Ofi	176	4,2	1											
1	Dgl	177	13,2			20,1	1								
1	Dgl	178	12,2			15,5	3								
1	Dgl	179	13,2			17,7	1								
1	Dgl	180	4,5	1											
1	Dgl	181	7,2			7,5	5								
1	Dgl	182	19,2			28,5			34,5		25,4	41,9		28,2	
1	Dgl	183	10,0			12,4			13,2			14,0			
1	Dgl	184	12,5			17,9	1								
1	Dgl	185	12,9			16,9			18,6		23,2	24,4		23,7	
1	Dgl	186	20,1			29,5			37,8	1					
1	Dgl	187	21,2			31,8			33,0	7	25,1				
1	Dgl	188	12,7			12,8	5								
1	Dgl	189	11,2			13,7	1								
1	Dgl	190	17,6			24,6			24,6	7	22,4				
1	Dgl	191	8,3			8,7	5								
1	Dgl	192	12,8			16,5	1								
1	Dgl	193	19,5			29,4			32,0			44,7			
1	Dgl	194	12,4			14,1	1								
1	Dgl	195	15,3			21,4			22,0	7	23,2				
1	Dgl	196	11,6			15,2	1								
1	Dgl	197	11,3			16,8			23,7		23,4	31,2		26,1	
1	Dgl	198	16,8			26,8			30,0	7	20,4				
1	Dgl	199	12,5			17,8			20,0	7	17,2				
