Aufnahme	Aufnahme	Aufnahme	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	
Wert	Wert	Wert	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	
Einheit	Einheit	Einheit	cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		
Bst.-E.	Art	Baum	402			41		0	121		402	29		0	402		0		361			181		0	99		361	38		0	361		0		180			17		0	0		180	9		0	180		0		163			74		5	0		163	10		0	163		0		89			0		0	0		89	0		0	0		0		
1	Ei	26	8,2	2	130		0		krumm	0	N		 		12,70	3			9,0	2	130	5	0		krumm	0	N		 		12,50	3																																																			
1	Ei	27	12,0	2	130		0			0	N		 		15,40	3			14,0	2	130	5	0			0	N		 		17,10	3																																																			
1	Ei	28	12,7	2	130		0			0	N		 		15,80	3			16,2	2	130		0			0	N		 		18,40	3			16,9	0	0		0			0	N		 		19,70	3			17,8	3	130	5	0	5		0	N		 		22,10	3																			
1	Ei	29	11,2	2	130		0		piz a	0	N		 		15,00	3			12,3	2	130		0		piz a	0	N		 		15,80	3			14,5	0	0		0			0	N		 		18,30	3			15,6	3	130	1	0			0	N		 		21,10	3																			
1	Ei	30	11,4	2	130		0			0	N		 		15,10	3			12,3	2	130	5	0			0	N		 		15,80	3																																																			
1	Ei	31	14,0	2	130		0			0	N		 		16,40	3			15,2	2	130	5	0			0	N		 		17,80	3																																																			
1	Ei	32	12,1	2	130		0			0	N		 		15,50	3			14,9	2	130		0			0	N		 		17,60	3			15,3	0	0	5	0			0	N		 		18,80	3																																			
1	Ei	33	10,6	2	130		0			0	N		 		14,60	3			11,8	2	130		0			0	N		 		15,40	3			13,1	0	0		0			0	N		 		17,30	3			13,7	3	0		0			0	N		 		20,10	3			14,1	3	130		0			0	N		 						
1	Ei	34	13,6	2	130		0			0	N		 		16,20	3			18,7	2	130		0			0	N		 		19,60	3			23,3	0	0		0			0	N		 		22,40	3			26,1	3	0		0			0	N		 		24,50	3			29,6	3	130		0			0	N		 						
1	Ei	35	7,6	2	130		0			0	N		 		12,10	3			7,3	2	130	5	0			0	N		 		10,30	3																																																			
1	Ei	36	13,8	2	130		0			0	N		 		16,30	3			19,1	2	130		0			0	N		 		19,80	3			22,1	0	0		0			0	N		 		22,00	3			24,6	3	0		0			0	N		 		24,20	3			27,7	3	130		0			0	N		 						
2	Bu	37	6,7	2	130		0			0	N		 		11,00	3			11,7	2	130		0			0	N		 		15,30	3			16,5	0	0		0			0	N		 		19,50	3			18,4	3	0		0			0	N		 		22,40	3			23,3	3	130		0			0	N		 						
1	Ei	38	7,2	2	130		0		krumm	0	N		 		11,60	3			7,7	2	130	5	0		krumm	0	N		 		10,90	3																																																			
