Bestandeseinheit,Baumart,Baumnummer,D_1972,Aus_1972,H_1972,D_1981,Aus_1981,H_1981,D_1993,Aus_1993,H_1993,D_2001,Aus_2001,H_2001,D_2011,Aus_2011,H_2011,D_2017,Aus_2017,H_2017
1,Bu,109,12.6,NA,NA,12.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,110,10.5,NA,NA,10.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,111,9.6,1,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,112,18.4,NA,NA,24.8,NA,NA,32.8,NA,NA,37.1,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,113,17.0,NA,17.8,18.3,7,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,114,8.6,NA,NA,8.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,115,6.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,116,13.0,NA,18.5,16.3,NA,22.7,21.2,NA,27.3,23.5,NA,NA,25.5,1,NA,NA,NA,NA
1,Bu,117,11.2,NA,NA,11.7,NA,23.2,12.0,NA,21.9,12.3,NA,20.2,12.6,NA,20.5,12.9,NA,NA
1,Bu,118,8.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,119,8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,120,13.6,NA,NA,13.9,NA,NA,14.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,121,15.1,NA,NA,15.2,NA,NA,15.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,122,8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,123,10.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,124,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,125,21.9,NA,NA,28.2,NA,NA,34.7,NA,NA,38.2,NA,NA,43.2,NA,NA,45.5,NA,34.3
